symbol,date,open,high,low,close,volume,change,changePercent,vwap
SIUSD,1995-01-03,4.762,4.762,4.762,4.762,0,0.0,0.0,4.762
SIUSD,1995-01-04,4.635,4.635,4.635,4.635,0,0.0,0.0,4.635
SIUSD,1995-01-05,4.732,4.732,4.732,4.732,0,0.0,0.0,4.732
SIUSD,1995-01-06,4.652,4.652,4.652,4.652,0,0.0,0.0,4.652
SIUSD,1995-01-09,4.69,4.69,4.69,4.69,0,0.0,0.0,4.69
SIUSD,1995-01-10,4.685,4.685,4.685,4.685,0,0.0,0.0,4.685
SIUSD,1995-01-11,4.735,4.735,4.735,4.735,0,0.0,0.0,4.735
SIUSD,1995-01-12,4.862,4.862,4.862,4.862,0,0.0,0.0,4.862
SIUSD,1995-01-13,4.822,4.822,4.822,4.822,0,0.0,0.0,4.822
SIUSD,1995-01-16,4.827,4.827,4.827,4.827,0,0.0,0.0,4.827
SIUSD,1995-01-17,4.877,4.877,4.877,4.877,0,0.0,0.0,4.877
SIUSD,1995-01-18,4.897,4.897,4.897,4.897,0,0.0,0.0,4.897
SIUSD,1995-01-19,4.9,4.9,4.9,4.9,0,0.0,0.0,4.9
SIUSD,1995-01-20,4.917,4.917,4.917,4.917,0,0.0,0.0,4.917
SIUSD,1995-01-23,4.82,4.82,4.82,4.82,0,0.0,0.0,4.82
SIUSD,1995-01-24,4.837,4.837,4.837,4.837,0,0.0,0.0,4.837
SIUSD,1995-01-25,4.79,4.79,4.79,4.79,0,0.0,0.0,4.79
SIUSD,1995-01-26,4.795,4.795,4.795,4.795,0,0.0,0.0,4.795
SIUSD,1995-01-27,4.675,4.675,4.675,4.675,0,0.0,0.0,4.675
SIUSD,1995-01-30,4.73,4.73,4.73,4.73,0,0.0,0.0,4.73
SIUSD,1995-01-31,4.663,4.663,4.663,4.663,0,0.0,0.0,4.663
SIUSD,1995-02-01,4.67,4.67,4.67,4.67,0,0.0,0.0,4.67
SIUSD,1995-02-02,4.712,4.712,4.712,4.712,0,0.0,0.0,4.712
SIUSD,1995-02-03,4.672,4.672,4.672,4.672,0,0.0,0.0,4.672
SIUSD,1995-02-06,4.705,4.705,4.705,4.705,0,0.0,0.0,4.705
SIUSD,1995-02-07,4.662,4.662,4.662,4.662,0,0.0,0.0,4.662
SIUSD,1995-02-08,4.717,4.717,4.717,4.717,0,0.0,0.0,4.717
SIUSD,1995-02-09,4.757,4.757,4.757,4.757,0,0.0,0.0,4.757
SIUSD,1995-02-10,4.757,4.757,4.757,4.757,0,0.0,0.0,4.757
SIUSD,1995-02-13,4.725,4.725,4.725,4.725,0,0.0,0.0,4.725
SIUSD,1995-02-14,4.755,4.755,4.755,4.755,0,0.0,0.0,4.755
SIUSD,1995-02-15,4.727,4.727,4.727,4.727,0,0.0,0.0,4.727
SIUSD,1995-02-16,4.725,4.725,4.725,4.725,0,0.0,0.0,4.725
SIUSD,1995-02-17,4.77,4.77,4.77,4.77,0,0.0,0.0,4.77
