symbol,date,open,high,low,close,volume,change,changePercent,vwap
GBPUSD,1995-01-02,1.5661,1.5668,1.556,1.5604,0,-0.0057,-0.36396,1.56233
GBPUSD,1995-01-03,1.5604,1.5656,1.5596,1.5631,0,0.0027,0.17303,1.56218
GBPUSD,1995-01-04,1.5631,1.5646,1.5581,1.5601,0,-0.003,-0.19193,1.56148
GBPUSD,1995-01-05,1.5601,1.5654,1.5599,1.5616,0,0.0015,0.09614768,1.56175
GBPUSD,1995-01-06,1.5616,1.5656,1.5486,1.5511,0,-0.0105,-0.67239,1.55673
GBPUSD,1995-01-09,1.5511,1.565,1.5511,1.5621,0,0.011,0.70917,1.55732
GBPUSD,1995-01-10,1.5621,1.5647,1.5556,1.5616,0,-0.0005,-0.03200819,1.561
GBPUSD,1995-01-11,1.5616,1.5638,1.5566,1.5591,0,-0.0025,-0.16009,1.56028
GBPUSD,1995-01-12,1.5591,1.5756,1.5574,1.5731,0,0.014,0.89795,1.5663
GBPUSD,1995-01-13,1.5731,1.5743,1.5655,1.5686,0,-0.0045,-0.28606,1.57038
GBPUSD,1995-01-16,1.5686,1.571,1.5674,1.5681,0,-0.0005,-0.03187556,1.56878
GBPUSD,1995-01-17,1.5681,1.5696,1.5613,1.5661,0,-0.002,-0.12754,1.56628
GBPUSD,1995-01-18,1.5661,1.5763,1.5661,1.5691,0,0.003,0.19156,1.5694
GBPUSD,1995-01-19,1.5691,1.5901,1.5681,1.5866,0,0.0175,1.11529,1.57847
GBPUSD,1995-01-20,1.5866,1.5913,1.5837,1.5851,0,-0.0015,-0.09454179,1.58667
GBPUSD,1995-01-23,1.5851,1.5966,1.5851,1.5942,0,0.0091,0.5741,1.59025
GBPUSD,1995-01-24,1.5942,1.6015,1.5934,1.5986,0,0.0044,0.276,1.59693
GBPUSD,1995-01-25,1.5986,1.602,1.5897,1.5916,0,-0.007,-0.43788,1.59548
GBPUSD,1995-01-26,1.5916,1.5941,1.5883,1.5891,0,-0.0025,-0.15707,1.59078
GBPUSD,1995-01-27,1.5891,1.5943,1.5849,1.5881,0,-0.001,-0.0629287,1.5891
GBPUSD,1995-01-30,1.5881,1.5979,1.5867,1.5956,0,0.0075,0.47226,1.59208
GBPUSD,1995-01-31,1.5956,1.5973,1.5786,1.5801,0,-0.0155,-0.97142,1.5879
GBPUSD,1995-02-01,1.5801,1.5836,1.5779,1.5831,0,0.003,0.18986,1.58118
GBPUSD,1995-02-02,1.5831,1.5857,1.5785,1.5806,0,-0.0025,-0.15792,1.58198
GBPUSD,1995-02-03,1.5806,1.5826,1.5601,1.5606,0,-0.02,-1.26534,1.57098
GBPUSD,1995-02-06,1.5606,1.5632,1.5553,1.5596,0,-0.001,-0.06407792,1.55968
GBPUSD,1995-02-07,1.5596,1.5621,1.5555,1.5566,0,-0.003,-0.19236,1.55845
GBPUSD,1995-02-08,1.5566,1.5591,1.5503,1.5536,0,-0.003,-0.19273,1.5549
GBPUSD,1995-02-09,1.5536,1.5609,1.5526,1.5571,0,0.0035,0.22528,1.55605
GBPUSD,1995-02-10,1.5571,1.565,1.5542,1.5626,0,0.0055,0.35322,1.55973
GBPUSD,1995-02-13,1.5626,1.5656,1.5611,1.5611,0,-0.0015,-0.09599386,1.5626
GBPUSD,1995-02-14,1.5611,1.5646,1.5524,1.5621,0,0.001,0.0640574,1.56005
GBPUSD,1995-02-15,1.5621,1.5655,1.5578,1.5606,0,-0.0015,-0.09602458,1.5615
GBPUSD,1995-02-16,1.5606,1.5811,1.5596,1.5781,0,0.0175,1.12136,1.56985
GBPUSD,1995-02-17,1.5781,1.5878,1.5739,1.5801,0,0.002,0.12673,1.57998
GBPUSD,1995-02-20,1.5801,1.5869,1.5786,1.5786,0,-0.0015,-0.0949307,1.58105
GBPUSD,1995-02-21,1.5786,1.5876,1.5736,1.5866,0,0.008,0.50678,1.5816
GBPUSD,1995-02-22,1.5866,1.5919,1.5807,1.5861,0,-0.0005,-0.03151393,1.58633
GBPUSD,1995-02-23,1.5861,1.5966,1.5856,1.5956,0,0.0095,0.59895,1.59098
GBPUSD,1995-02-24,1.5956,1.5961,1.5776,1.5776,0,-0.018,-1.1281,1.58673
GBPUSD,1995-02-27,1.5776,1.5854,1.576,1.5816,0,0.004,0.25355,1.58015
GBPUSD,1995-02-28,1.5816,1.5878,1.5772,1.5836,0,0.002,0.12645,1.58255
GBPUSD,1995-03-01,1.5836,1.5877,1.579,1.5876,0,0.004,0.25259,1.58448
GBPUSD,1995-03-02,1.5876,1.6216,1.5869,1.6139,0,0.0263,1.65659,1.6025
GBPUSD,1995-03-03,1.6139,1.6316,1.603,1.6316,0,0.0177,1.09672,1.62002
GBPUSD,1995-03-06,1.6316,1.6576,1.6156,1.6203,0,-0.0113,-0.69257,1.63128
GBPUSD,1995-03-07,1.6203,1.6521,1.6187,1.6426,0,0.0223,1.37629,1.63343
GBPUSD,1995-03-08,1.6426,1.6536,1.5986,1.6101,0,-0.0325,-1.97857,1.62623
GBPUSD,1995-03-09,1.6101,1.6238,1.5983,1.6049,0,-0.0052,-0.32296,1.60928
GBPUSD,1995-03-10,1.6049,1.6111,1.5646,1.5756,0,-0.0293,-1.82566,1.58905
GBPUSD,1995-03-13,1.5756,1.5989,1.5746,1.5921,0,0.0165,1.04722,1.5853
GBPUSD,1995-03-14,1.5921,1.5932,1.5829,1.5844,0,-0.0077,-0.48364,1.58815
GBPUSD,1995-03-15,1.5844,1.6038,1.5831,1.5991,0,0.0147,0.9278,1.5926
GBPUSD,1995-03-16,1.5991,1.6018,1.5862,1.5871,0,-0.012,-0.75042,1.59355
GBPUSD,1995-03-17,1.5871,1.5945,1.5739,1.5866,0,-0.0005,-0.031504,1.58552
GBPUSD,1995-03-20,1.5866,1.5956,1.5711,1.5788,0,-0.0078,-0.49162,1.58303
GBPUSD,1995-03-21,1.5788,1.5888,1.5756,1.5867,0,0.0079,0.50038,1.58248
GBPUSD,1995-03-22,1.5867,1.5926,1.5815,1.5872,0,0.0005,0.03151194,1.587
GBPUSD,1995-03-23,1.5872,1.5989,1.5846,1.5951,0,0.0079,0.49773,1.59145
GBPUSD,1995-03-24,1.5951,1.6006,1.5876,1.5911,0,-0.004,-0.25077,1.5936
GBPUSD,1995-03-27,1.5911,1.6021,1.5901,1.5934,0,0.0023,0.14455,1.59418
GBPUSD,1995-03-28,1.5934,1.6032,1.5921,1.6009,0,0.0075,0.47069,1.5974
GBPUSD,1995-03-29,1.6009,1.6181,1.5997,1.6081,0,0.0072,0.44975,1.6067
GBPUSD,1995-03-30,1.6081,1.615,1.5934,1.6091,0,0.001,0.06218519,1.6064
GBPUSD,1995-03-31,1.6091,1.6311,1.6038,1.6244,0,0.0153,0.95084,1.6171
GBPUSD,1995-04-03,1.6244,1.6276,1.6121,1.6206,0,-0.0038,-0.23393,1.62118
GBPUSD,1995-04-04,1.6206,1.6211,1.5983,1.6051,0,-0.0155,-0.95644,1.61128
GBPUSD,1995-04-05,1.6051,1.6165,1.6027,1.6076,0,0.0025,0.15575,1.60798
GBPUSD,1995-04-06,1.6076,1.6146,1.6038,1.6086,0,0.001,0.06220453,1.60865
GBPUSD,1995-04-07,1.6086,1.6261,1.599,1.6041,0,-0.0045,-0.27975,1.60945
GBPUSD,1995-04-10,1.6041,1.6056,1.5866,1.5896,0,-0.0145,-0.90393,1.59648
GBPUSD,1995-04-11,1.5896,1.6006,1.5896,1.5926,0,0.003,0.18873,1.5931
GBPUSD,1995-04-12,1.5926,1.5961,1.5869,1.5906,0,-0.002,-0.12558,1.59155
GBPUSD,1995-04-13,1.5906,1.6121,1.5906,1.6091,0,0.0185,1.16308,1.6006
GBPUSD,1995-04-14,1.6091,1.6136,1.6016,1.6021,0,-0.007,-0.43503,1.6066
GBPUSD,1995-04-17,1.6021,1.6256,1.6021,1.6241,0,0.022,1.3732,1.61348
GBPUSD,1995-04-18,1.6241,1.6251,1.6118,1.6123,0,-0.0118,-0.72656,1.61833
GBPUSD,1995-04-19,1.6123,1.6194,1.6069,1.6111,0,-0.0012,-0.07442784,1.61243
GBPUSD,1995-04-20,1.6111,1.6179,1.6051,1.6116,0,0.0005,0.0310347,1.61143
GBPUSD,1995-04-21,1.6116,1.6146,1.6017,1.6146,0,0.003,0.18615,1.61063
GBPUSD,1995-04-24,1.6146,1.6216,1.5956,1.6026,0,-0.012,-0.74322,1.6086
GBPUSD,1995-04-25,1.6026,1.6191,1.6016,1.6126,0,0.01,0.62399,1.60898
GBPUSD,1995-04-26,1.6126,1.6221,1.6062,1.6156,0,0.003,0.18603,1.61412
GBPUSD,1995-04-27,1.6156,1.6191,1.6117,1.6176,0,0.002,0.12379,1.616
GBPUSD,1995-04-28,1.6176,1.6204,1.6078,1.6081,0,-0.0095,-0.58729,1.61348
GBPUSD,1995-05-01,1.6081,1.6196,1.6081,1.6156,0,0.0075,0.46639,1.61285
GBPUSD,1995-05-02,1.6156,1.6187,1.6109,1.6161,0,0.0005,0.03094825,1.61533
GBPUSD,1995-05-03,1.6161,1.6194,1.6113,1.614,0,-0.0021,-0.12994,1.6152
GBPUSD,1995-05-04,1.614,1.6237,1.6106,1.6137,0,-0.0003,-0.01858736,1.6155
GBPUSD,1995-05-05,1.6137,1.6175,1.5948,1.601,0,-0.0127,-0.78701,1.60675
GBPUSD,1995-05-08,1.601,1.6096,1.5986,1.6041,0,0.0031,0.19363,1.60333
GBPUSD,1995-05-09,1.6041,1.6063,1.5833,1.5854,0,-0.0187,-1.16576,1.59478
GBPUSD,1995-05-10,1.5854,1.5948,1.5799,1.5842,0,-0.0012,-0.07569068,1.58608
GBPUSD,1995-05-11,1.5842,1.5871,1.5477,1.5605,0,-0.0237,-1.49602,1.56988
GBPUSD,1995-05-12,1.5605,1.5761,1.5491,1.5636,0,0.0031,0.19865,1.56233
GBPUSD,1995-05-15,1.5636,1.5771,1.5595,1.5746,0,0.011,0.7035,1.5687
GBPUSD,1995-05-16,1.5746,1.5793,1.5596,1.565,0,-0.0096,-0.60968,1.56962
GBPUSD,1995-05-17,1.565,1.5726,1.5609,1.5693,0,0.0043,0.27476,1.56695
GBPUSD,1995-05-18,1.5693,1.5806,1.5611,1.5761,0,0.0068,0.43331,1.57178
GBPUSD,1995-05-19,1.5761,1.5811,1.5669,1.5695,0,-0.0066,-0.41876,1.5734
GBPUSD,1995-05-22,1.5695,1.5808,1.5636,1.5742,0,0.0047,0.29946,1.57203
GBPUSD,1995-05-23,1.5742,1.5776,1.5654,1.5706,0,-0.0036,-0.22869,1.57195
GBPUSD,1995-05-24,1.5706,1.5785,1.5671,1.5741,0,0.0035,0.22284,1.57258
GBPUSD,1995-05-25,1.5741,1.6111,1.573,1.6075,0,0.0334,2.12185,1.59143
GBPUSD,1995-05-26,1.6075,1.6212,1.6008,1.6037,0,-0.0038,-0.23639,1.6083
GBPUSD,1995-05-29,1.6037,1.609,1.5969,1.5986,0,-0.0051,-0.31801,1.60205
GBPUSD,1995-05-30,1.5986,1.6056,1.5941,1.6,0,0.0014,0.08757663,1.59958
GBPUSD,1995-05-31,1.6,1.6072,1.5846,1.5861,0,-0.0139,-0.86875,1.59448
GBPUSD,1995-06-01,1.5861,1.6096,1.5811,1.5993,0,0.0132,0.83223,1.59402
GBPUSD,1995-06-02,1.5993,1.6048,1.5803,1.5896,0,-0.0097,-0.60652,1.5935
GBPUSD,1995-06-05,1.5896,1.5991,1.5863,1.5946,0,0.005,0.31454,1.5924
GBPUSD,1995-06-06,1.5946,1.5959,1.5865,1.5895,0,-0.0051,-0.31983,1.59163
GBPUSD,1995-06-07,1.5895,1.5948,1.5863,1.5891,0,-0.0004,-0.02516515,1.58993
GBPUSD,1995-06-08,1.5891,1.6034,1.5856,1.5938,0,0.0047,0.29576,1.59298
GBPUSD,1995-06-09,1.5938,1.5994,1.5922,1.593,0,-0.0008,-0.0501945,1.5946
GBPUSD,1995-06-12,1.593,1.598,1.5923,1.5948,0,0.0018,0.11299,1.59453
GBPUSD,1995-06-13,1.5948,1.5999,1.5925,1.5926,0,-0.0022,-0.13795,1.59495
GBPUSD,1995-06-14,1.5926,1.6158,1.5913,1.6129,0,0.0203,1.27465,1.60315
GBPUSD,1995-06-15,1.6129,1.6166,1.5932,1.5986,0,-0.0143,-0.8866,1.60533
GBPUSD,1995-06-16,1.5986,1.611,1.5964,1.6005,0,0.0019,0.11885,1.60163
GBPUSD,1995-06-19,1.6005,1.6086,1.595,1.6001,0,-0.0004,-0.02499219,1.60105
GBPUSD,1995-06-20,1.6001,1.6071,1.5969,1.6057,0,0.0056,0.34998,1.60245
GBPUSD,1995-06-21,1.6057,1.6144,1.5992,1.6112,0,0.0055,0.34253,1.60763
GBPUSD,1995-06-22,1.6112,1.6121,1.5941,1.5955,0,-0.0157,-0.97443,1.60323
GBPUSD,1995-06-23,1.5955,1.6084,1.5944,1.6046,0,0.0091,0.57035,1.60072
GBPUSD,1995-06-26,1.6046,1.6076,1.582,1.5866,0,-0.018,-1.12177,1.5952
GBPUSD,1995-06-27,1.5866,1.5911,1.5774,1.5854,0,-0.0012,-0.07563343,1.58513
GBPUSD,1995-06-28,1.5854,1.5897,1.5706,1.5769,0,-0.0085,-0.53614,1.58065
GBPUSD,1995-06-29,1.5769,1.5999,1.5747,1.5968,0,0.0199,1.26197,1.58708
GBPUSD,1995-06-30,1.5968,1.6004,1.5883,1.5922,0,-0.0046,-0.28808,1.59443
GBPUSD,1995-07-03,1.5922,1.6014,1.5908,1.5997,0,0.0075,0.47105,1.59603
GBPUSD,1995-07-04,1.5997,1.6044,1.592,1.5985,0,-0.0012,-0.07501407,1.59865
GBPUSD,1995-07-05,1.5985,1.6017,1.5894,1.5955,0,-0.003,-0.18768,1.59628
GBPUSD,1995-07-06,1.5955,1.6051,1.5928,1.5996,0,0.0041,0.25697,1.59825
