symbol,date,open,high,low,close,volume,change,changePercent,vwap
USDCHF,1995-01-02,1.3089,1.3177,1.3086,1.3177,0,0.0088,0.67232,1.31323
USDCHF,1995-01-03,1.3177,1.3181,1.3101,1.3146,0,-0.0031,-0.23526,1.31513
USDCHF,1995-01-04,1.3146,1.3185,1.3076,1.3124,0,-0.0022,-0.16735,1.31328
USDCHF,1995-01-05,1.3124,1.3128,1.2999,1.3021,0,-0.0103,-0.78482,1.3068
USDCHF,1995-01-06,1.3021,1.3126,1.3011,1.3096,0,0.0075,0.57599,1.30635
USDCHF,1995-01-09,1.3096,1.3109,1.2841,1.2886,0,-0.021,-1.60354,1.2983
USDCHF,1995-01-10,1.2886,1.2909,1.2796,1.2831,0,-0.0055,-0.42682,1.28555
USDCHF,1995-01-11,1.2831,1.2903,1.2821,1.2886,0,0.0055,0.42865,1.28603
USDCHF,1995-01-12,1.2886,1.2934,1.2786,1.2801,0,-0.0085,-0.65963,1.28518
USDCHF,1995-01-13,1.2801,1.2929,1.2796,1.2886,0,0.0085,0.66401,1.2853
USDCHF,1995-01-16,1.2886,1.2939,1.2821,1.2841,0,-0.0045,-0.34922,1.28718
USDCHF,1995-01-17,1.2841,1.2916,1.2811,1.2861,0,0.002,0.15575,1.28573
USDCHF,1995-01-18,1.2861,1.2936,1.2806,1.2911,0,0.005,0.38877,1.28785
USDCHF,1995-01-19,1.2911,1.2962,1.2716,1.2736,0,-0.0175,-1.35543,1.28313
USDCHF,1995-01-20,1.2736,1.2771,1.2663,1.2716,0,-0.002,-0.15704,1.27215
USDCHF,1995-01-23,1.2716,1.2741,1.265,1.2696,0,-0.002,-0.15728,1.27007
USDCHF,1995-01-24,1.2696,1.273,1.2673,1.2696,0,0.0,0.0,1.26988
USDCHF,1995-01-25,1.2696,1.2783,1.2635,1.2751,0,0.0055,0.43321,1.27163
USDCHF,1995-01-26,1.2751,1.2785,1.2735,1.2756,0,0.0005,0.03921261,1.27567
USDCHF,1995-01-27,1.2756,1.279,1.2701,1.2731,0,-0.0025,-0.19599,1.27445
USDCHF,1995-01-30,1.2731,1.2785,1.2646,1.2671,0,-0.006,-0.47129,1.27082
USDCHF,1995-01-31,1.2671,1.2876,1.2636,1.2846,0,0.0175,1.38111,1.27573
USDCHF,1995-02-01,1.2846,1.2896,1.2821,1.2831,0,-0.0015,-0.11677,1.28485
USDCHF,1995-02-02,1.2831,1.2866,1.2756,1.2846,0,0.0015,0.1169,1.28248
USDCHF,1995-02-03,1.2846,1.2976,1.2813,1.2926,0,0.008,0.62276,1.28903
USDCHF,1995-02-06,1.2926,1.2999,1.2918,1.2936,0,0.001,0.07736345,1.29448
USDCHF,1995-02-07,1.2936,1.3031,1.2916,1.3011,0,0.0075,0.57978,1.29735
USDCHF,1995-02-08,1.3011,1.3018,1.2926,1.2946,0,-0.0065,-0.49958,1.29753
USDCHF,1995-02-09,1.2946,1.3001,1.2911,1.2926,0,-0.002,-0.15449,1.2946
USDCHF,1995-02-10,1.2926,1.2959,1.2811,1.2811,0,-0.0115,-0.88968,1.28768
USDCHF,1995-02-13,1.2811,1.2856,1.2788,1.2836,0,0.0025,0.19514,1.28228
USDCHF,1995-02-14,1.2836,1.2873,1.2716,1.2736,0,-0.01,-0.77906,1.27903
USDCHF,1995-02-15,1.2736,1.2803,1.2723,1.2756,0,0.002,0.15704,1.27545
USDCHF,1995-02-16,1.2756,1.2766,1.257,1.2601,0,-0.0155,-1.21511,1.26733
USDCHF,1995-02-17,1.2601,1.2611,1.2479,1.2511,0,-0.009,-0.71423,1.25505
USDCHF,1995-02-20,1.2511,1.2521,1.2442,1.2496,0,-0.0015,-0.11989,1.24925
USDCHF,1995-02-21,1.2496,1.2571,1.2411,1.2421,0,-0.0075,-0.60019,1.24748
USDCHF,1995-02-22,1.2421,1.2535,1.2396,1.2491,0,0.007,0.56356,1.24608
USDCHF,1995-02-23,1.2491,1.256,1.2456,1.2481,0,-0.001,-0.08005764,1.2497
USDCHF,1995-02-24,1.2481,1.2555,1.2432,1.2446,0,-0.0035,-0.28043,1.24785
USDCHF,1995-02-27,1.2446,1.2476,1.233,1.2441,0,-0.0005,-0.04017355,1.24233
USDCHF,1995-02-28,1.2441,1.2446,1.2334,1.2366,0,-0.0075,-0.60285,1.23967
USDCHF,1995-03-01,1.2366,1.2444,1.2326,1.2381,0,0.0015,0.1213,1.23793
USDCHF,1995-03-02,1.2381,1.2458,1.2171,1.2231,0,-0.015,-1.21153,1.23103
USDCHF,1995-03-03,1.2231,1.2331,1.1876,1.1876,0,-0.0355,-2.90246,1.20785
USDCHF,1995-03-06,1.1876,1.1916,1.1661,1.1756,0,-0.012,-1.01044,1.18023
USDCHF,1995-03-07,1.1756,1.1765,1.1303,1.1386,0,-0.037,-3.14733,1.15525
USDCHF,1995-03-08,1.1386,1.1746,1.1196,1.1676,0,0.029,2.54699,1.1501
USDCHF,1995-03-09,1.1676,1.1823,1.1529,1.1721,0,0.0045,0.38541,1.16872
USDCHF,1995-03-10,1.1721,1.187,1.1662,1.1746,0,0.0025,0.21329,1.17498
USDCHF,1995-03-13,1.1746,1.1763,1.1684,1.1751,0,0.0005,0.04256768,1.1736
USDCHF,1995-03-14,1.1751,1.1801,1.1696,1.1751,0,0.0,0.0,1.17497
USDCHF,1995-03-15,1.1751,1.1766,1.1476,1.1501,0,-0.025,-2.12748,1.16235
USDCHF,1995-03-16,1.1501,1.1676,1.1431,1.1646,0,0.0145,1.26076,1.15635
USDCHF,1995-03-17,1.1646,1.1651,1.1464,1.1486,0,-0.016,-1.37386,1.15618
USDCHF,1995-03-20,1.1486,1.1696,1.1471,1.1611,0,0.0125,1.08828,1.1566
USDCHF,1995-03-21,1.1611,1.1796,1.1587,1.1731,0,0.012,1.0335,1.16813
USDCHF,1995-03-22,1.1731,1.1786,1.1606,1.1636,0,-0.0095,-0.80982,1.16897
USDCHF,1995-03-23,1.1636,1.167,1.1554,1.1621,0,-0.0015,-0.12891,1.16202
USDCHF,1995-03-24,1.1621,1.178,1.1621,1.1751,0,0.013,1.11866,1.16932
USDCHF,1995-03-27,1.1751,1.1756,1.1566,1.1591,0,-0.016,-1.36159,1.1666
USDCHF,1995-03-28,1.1591,1.1628,1.1441,1.1466,0,-0.0125,-1.07842,1.15315
USDCHF,1995-03-29,1.1466,1.1481,1.1317,1.1421,0,-0.0045,-0.39246,1.14213
USDCHF,1995-03-30,1.1421,1.1773,1.1361,1.1676,0,0.0255,2.23273,1.15578
USDCHF,1995-03-31,1.1676,1.1716,1.1218,1.1256,0,-0.042,-3.59712,1.14665
USDCHF,1995-04-03,1.1256,1.1354,1.1176,1.1176,0,-0.008,-0.71073,1.12405
USDCHF,1995-04-04,1.1176,1.1401,1.1164,1.1341,0,0.0165,1.47638,1.12705
USDCHF,1995-04-05,1.1341,1.1381,1.1191,1.1191,0,-0.015,-1.32263,1.1276
USDCHF,1995-04-06,1.1191,1.1318,1.1131,1.1201,0,0.001,0.08935752,1.12103
USDCHF,1995-04-07,1.1201,1.1421,1.1192,1.1421,0,0.022,1.96411,1.13088
USDCHF,1995-04-10,1.1421,1.1671,1.1349,1.1591,0,0.017,1.48849,1.1508
USDCHF,1995-04-11,1.1591,1.1626,1.1483,1.1536,0,-0.0055,-0.47451,1.1559
USDCHF,1995-04-12,1.1536,1.1593,1.149,1.1546,0,0.001,0.08668516,1.15413
USDCHF,1995-04-13,1.1546,1.1575,1.1431,1.1446,0,-0.01,-0.8661,1.14995
USDCHF,1995-04-14,1.1446,1.1524,1.1411,1.1501,0,0.0055,0.48052,1.14705
USDCHF,1995-04-17,1.1501,1.1511,1.1221,1.1221,0,-0.028,-2.43457,1.13635
USDCHF,1995-04-18,1.1221,1.1306,1.1116,1.1116,0,-0.0105,-0.93575,1.11898
USDCHF,1995-04-19,1.1116,1.1383,1.1111,1.1251,0,0.0135,1.21447,1.12152
USDCHF,1995-04-20,1.1251,1.1486,1.1251,1.1391,0,0.014,1.24433,1.13447
USDCHF,1995-04-21,1.1391,1.1485,1.1196,1.1196,0,-0.0195,-1.71188,1.1317
USDCHF,1995-04-24,1.1196,1.1466,1.1171,1.1421,0,0.0225,2.00965,1.13135
USDCHF,1995-04-25,1.1421,1.1441,1.1227,1.1231,0,-0.019,-1.6636,1.133
USDCHF,1995-04-26,1.1231,1.1464,1.1231,1.1266,0,0.0035,0.31164,1.1298
USDCHF,1995-04-27,1.1266,1.1387,1.1266,1.136,0,0.0094,0.83437,1.13198
USDCHF,1995-04-28,1.136,1.1555,1.1317,1.1436,0,0.0076,0.66901,1.1417
USDCHF,1995-05-01,1.1436,1.1526,1.1421,1.1421,0,-0.0015,-0.13116,1.1451
USDCHF,1995-05-02,1.1421,1.1478,1.1317,1.135,0,-0.0071,-0.62166,1.13915
USDCHF,1995-05-03,1.135,1.1382,1.128,1.1355,0,0.0005,0.04405286,1.13418
USDCHF,1995-05-04,1.1355,1.1379,1.1263,1.1337,0,-0.0018,-0.15852,1.13335
USDCHF,1995-05-05,1.1337,1.1367,1.125,1.1266,0,-0.0071,-0.62627,1.1305
USDCHF,1995-05-08,1.1266,1.1329,1.1225,1.1261,0,-0.0005,-0.04438132,1.12703
USDCHF,1995-05-09,1.1261,1.1417,1.1251,1.1388,0,0.0127,1.12779,1.13293
USDCHF,1995-05-10,1.1388,1.156,1.1376,1.1502,0,0.0114,1.00105,1.14565
