symbol,date,open,high,low,close,volume,change,changePercent,vwap
USDRUB,1995-01-02,3.585,3.585,3.585,3.585,0,0.0,0.0,3.585
USDRUB,1995-01-03,3.6,3.6,3.6,3.6,0,0.0,0.0,3.6
USDRUB,1995-01-04,3.621,3.621,3.621,3.621,0,0.0,0.0,3.621
USDRUB,1995-01-05,3.723,3.723,3.723,3.723,0,0.0,0.0,3.723
USDRUB,1995-01-06,3.745,3.745,3.745,3.745,0,0.0,0.0,3.745
USDRUB,1995-01-09,3.745,3.745,3.745,3.745,0,0.0,0.0,3.745
USDRUB,1995-01-10,3.784,3.784,3.784,3.784,0,0.0,0.0,3.784
USDRUB,1995-01-11,3.783,3.783,3.783,3.783,0,0.0,0.0,3.783
USDRUB,1995-01-12,3.788,3.788,3.788,3.788,0,0.0,0.0,3.788
USDRUB,1995-01-13,3.877,3.877,3.877,3.877,0,0.0,0.0,3.877
USDRUB,1995-01-16,3.881,3.881,3.881,3.881,0,0.0,0.0,3.881
USDRUB,1995-01-17,3.904,3.904,3.904,3.904,0,0.0,0.0,3.904
USDRUB,1995-01-18,3.936,3.936,3.936,3.936,0,0.0,0.0,3.936
USDRUB,1995-01-19,3.991,3.991,3.991,3.991,0,0.0,0.0,3.991
USDRUB,1995-01-20,4.005,4.005,4.005,4.005,0,0.0,0.0,4.005
USDRUB,1995-01-23,3.983,3.983,3.983,3.983,0,0.0,0.0,3.983
USDRUB,1995-01-24,3.957,3.957,3.957,3.957,0,0.0,0.0,3.957
USDRUB,1995-01-25,3.95,3.95,3.95,3.95,0,0.0,0.0,3.95
USDRUB,1995-01-26,4.016,4.016,4.016,4.016,0,0.0,0.0,4.016
USDRUB,1995-01-27,4.057,4.057,4.057,4.057,0,0.0,0.0,4.057
USDRUB,1995-01-30,4.05,4.05,4.05,4.05,0,0.0,0.0,4.05
USDRUB,1995-01-31,4.01,4.01,4.01,4.01,0,0.0,0.0,4.01
USDRUB,1995-02-01,4.078,4.078,4.078,4.078,0,0.0,0.0,4.078
USDRUB,1995-02-02,4.114,4.114,4.114,4.114,0,0.0,0.0,4.114
USDRUB,1995-02-03,4.128,4.128,4.128,4.128,0,0.0,0.0,4.128
USDRUB,1995-02-06,4.128,4.128,4.128,4.128,0,0.0,0.0,4.128
USDRUB,1995-02-07,4.149,4.149,4.149,4.149,0,0.0,0.0,4.149
USDRUB,1995-02-08,4.188,4.188,4.188,4.188,0,0.0,0.0,4.188
USDRUB,1995-02-09,4.175,4.175,4.175,4.175,0,0.0,0.0,4.175
USDRUB,1995-02-10,4.185,4.185,4.185,4.185,0,0.0,0.0,4.185
USDRUB,1995-02-13,4.206,4.206,4.206,4.206,0,0.0,0.0,4.206
USDRUB,1995-02-14,4.265,4.265,4.265,4.265,0,0.0,0.0,4.265
USDRUB,1995-02-15,4.28,4.28,4.28,4.28,0,0.0,0.0,4.28
USDRUB,1995-02-16,4.284,4.284,4.284,4.284,0,0.0,0.0,4.284
USDRUB,1995-02-17,4.35,4.35,4.35,4.35,0,0.0,0.0,4.35
USDRUB,1995-02-20,4.353,4.353,4.353,4.353,0,0.0,0.0,4.353
USDRUB,1995-02-21,4.375,4.375,4.375,4.375,0,0.0,0.0,4.375
USDRUB,1995-02-22,4.415,4.415,4.415,4.415,0,0.0,0.0,4.415
USDRUB,1995-02-23,4.427,4.427,4.427,4.427,0,0.0,0.0,4.427
USDRUB,1995-02-24,4.449,4.449,4.449,4.449,0,0.0,0.0,4.449
USDRUB,1995-02-27,4.448,4.448,4.448,4.448,0,0.0,0.0,4.448
USDRUB,1995-02-28,4.464,4.464,4.464,4.464,0,0.0,0.0,4.464
USDRUB,1995-03-01,4.541,4.541,4.541,4.541,0,0.0,0.0,4.541
USDRUB,1995-03-02,4.558,4.558,4.558,4.558,0,0.0,0.0,4.558
USDRUB,1995-03-03,4.594,4.594,4.594,4.594,0,0.0,0.0,4.594
USDRUB,1995-03-06,4.584,4.584,4.584,4.584,0,0.0,0.0,4.584
USDRUB,1995-03-07,4.618,4.618,4.618,4.618,0,0.0,0.0,4.618
USDRUB,1995-03-08,4.618,4.618,4.618,4.618,0,0.0,0.0,4.618
USDRUB,1995-03-09,4.652,4.652,4.652,4.652,0,0.0,0.0,4.652
USDRUB,1995-03-10,4.6835,4.6835,4.6835,4.6835,0,0.0,0.0,4.6835
USDRUB,1995-03-13,4.691,4.691,4.691,4.691,0,0.0,0.0,4.691
USDRUB,1995-03-14,4.76,4.76,4.76,4.76,0,0.0,0.0,4.76
USDRUB,1995-03-15,4.78,4.78,4.78,4.78,0,0.0,0.0,4.78
USDRUB,1995-03-16,4.777,4.777,4.777,4.777,0,0.0,0.0,4.777
USDRUB,1995-03-17,4.806,4.806,4.806,4.806,0,0.0,0.0,4.806
USDRUB,1995-03-20,4.812,4.812,4.812,4.812,0,0.0,0.0,4.812
USDRUB,1995-03-21,4.83,4.83,4.83,4.83,0,0.0,0.0,4.83
USDRUB,1995-03-22,4.851,4.851,4.851,4.851,0,0.0,0.0,4.851
USDRUB,1995-03-23,4.852,4.852,4.852,4.852,0,0.0,0.0,4.852
USDRUB,1995-03-24,4.866,4.866,4.866,4.866,0,0.0,0.0,4.866
USDRUB,1995-03-27,4.874,4.874,4.874,4.874,0,0.0,0.0,4.874
USDRUB,1995-03-28,4.884,4.884,4.884,4.884,0,0.0,0.0,4.884
USDRUB,1995-03-29,4.877,4.877,4.877,4.877,0,0.0,0.0,4.877
USDRUB,1995-03-30,4.894,4.894,4.894,4.894,0,0.0,0.0,4.894
USDRUB,1995-03-31,4.917,4.917,4.917,4.917,0,0.0,0.0,4.917
USDRUB,1995-04-03,4.896,4.896,4.896,4.896,0,0.0,0.0,4.896
USDRUB,1995-04-04,4.918,4.918,4.918,4.918,0,0.0,0.0,4.918
USDRUB,1995-04-05,4.943,4.943,4.943,4.943,0,0.0,0.0,4.943
USDRUB,1995-04-06,4.945,4.945,4.945,4.945,0,0.0,0.0,4.945
USDRUB,1995-04-07,4.96,4.96,4.96,4.96,0,0.0,0.0,4.96
USDRUB,1995-04-10,4.961,4.961,4.961,4.961,0,0.0,0.0,4.961
USDRUB,1995-04-11,4.99,4.99,4.99,4.99,0,0.0,0.0,4.99
USDRUB,1995-04-12,5.006,5.006,5.006,5.006,0,0.0,0.0,5.006
USDRUB,1995-04-13,5.023,5.023,5.023,5.023,0,0.0,0.0,5.023
USDRUB,1995-04-14,5.042,5.042,5.042,5.042,0,0.0,0.0,5.042
USDRUB,1995-04-17,5.048,5.048,5.048,5.048,0,0.0,0.0,5.048
USDRUB,1995-04-18,5.048,5.048,5.048,5.048,0,0.0,0.0,5.048
USDRUB,1995-04-19,5.046,5.046,5.046,5.046,0,0.0,0.0,5.046
USDRUB,1995-04-20,5.06,5.06,5.06,5.06,0,0.0,0.0,5.06
USDRUB,1995-04-21,5.064,5.064,5.064,5.064,0,0.0,0.0,5.064
USDRUB,1995-04-24,5.083,5.083,5.083,5.083,0,0.0,0.0,5.083
USDRUB,1995-04-25,5.087,5.087,5.087,5.087,0,0.0,0.0,5.087
USDRUB,1995-04-26,5.072,5.072,5.072,5.072,0,0.0,0.0,5.072
USDRUB,1995-04-27,5.12,5.12,5.12,5.12,0,0.0,0.0,5.12
USDRUB,1995-04-28,5.12,5.12,5.12,5.12,0,0.0,0.0,5.12
USDRUB,1995-05-01,5.135,5.135,5.135,5.135,0,0.0,0.0,5.135
USDRUB,1995-05-02,5.135,5.135,5.135,5.135,0,0.0,0.0,5.135
USDRUB,1995-05-03,5.149,5.149,5.149,5.149,0,0.0,0.0,5.149
USDRUB,1995-05-04,5.123,5.123,5.123,5.123,0,0.0,0.0,5.123
USDRUB,1995-05-05,5.115,5.115,5.115,5.115,0,0.0,0.0,5.115
USDRUB,1995-05-08,5.111,5.111,5.111,5.111,0,0.0,0.0,5.111
USDRUB,1995-05-09,5.111,5.111,5.111,5.111,0,0.0,0.0,5.111
USDRUB,1995-05-10,5.06,5.06,5.06,5.06,0,0.0,0.0,5.06
USDRUB,1995-05-11,5.08,5.08,5.08,5.08,0,0.0,0.0,5.08
USDRUB,1995-05-12,5.056,5.056,5.056,5.056,0,0.0,0.0,5.056
USDRUB,1995-05-15,5.008,5.008,5.008,5.008,0,0.0,0.0,5.008
USDRUB,1995-05-16,5.025,5.025,5.025,5.025,0,0.0,0.0,5.025
USDRUB,1995-05-17,5.051,5.051,5.051,5.051,0,0.0,0.0,5.051
USDRUB,1995-05-18,5.022,5.022,5.022,5.022,0,0.0,0.0,5.022
USDRUB,1995-05-19,5.027,5.027,5.027,5.027,0,0.0,0.0,5.027
USDRUB,1995-05-22,5.029,5.029,5.029,5.029,0,0.0,0.0,5.029
USDRUB,1995-05-23,5.051,5.051,5.051,5.051,0,0.0,0.0,5.051
USDRUB,1995-05-24,5.034,5.034,5.034,5.034,0,0.0,0.0,5.034
USDRUB,1995-05-25,5.013,5.013,5.013,5.013,0,0.0,0.0,5.013
USDRUB,1995-05-26,5.026,5.026,5.026,5.026,0,0.0,0.0,5.026
USDRUB,1995-05-29,4.994,4.994,4.994,4.994,0,0.0,0.0,4.994
USDRUB,1995-05-30,4.988,4.988,4.988,4.988,0,0.0,0.0,4.988
USDRUB,1995-05-31,4.992,4.992,4.992,4.992,0,0.0,0.0,4.992
USDRUB,1995-06-01,4.913,4.913,4.913,4.913,0,0.0,0.0,4.913
USDRUB,1995-06-02,4.911,4.911,4.911,4.911,0,0.0,0.0,4.911
USDRUB,1995-06-05,4.903,4.903,4.903,4.903,0,0.0,0.0,4.903
USDRUB,1995-06-06,4.912,4.912,4.912,4.912,0,0.0,0.0,4.912
USDRUB,1995-06-07,4.912,4.912,4.912,4.912,0,0.0,0.0,4.912
USDRUB,1995-06-08,4.884,4.884,4.884,4.884,0,0.0,0.0,4.884
USDRUB,1995-06-09,4.86,4.86,4.86,4.86,0,0.0,0.0,4.86
USDRUB,1995-06-12,4.86,4.86,4.86,4.86,0,0.0,0.0,4.86
USDRUB,1995-06-13,4.782,4.782,4.782,4.782,0,0.0,0.0,4.782
USDRUB,1995-06-14,4.765,4.765,4.765,4.765,0,0.0,0.0,4.765
USDRUB,1995-06-15,4.728,4.728,4.728,4.728,0,0.0,0.0,4.728
USDRUB,1995-06-16,4.637,4.637,4.637,4.637,0,0.0,0.0,4.637
USDRUB,1995-06-19,4.532,4.532,4.532,4.532,0,0.0,0.0,4.532
USDRUB,1995-06-20,4.572,4.572,4.572,4.572,0,0.0,0.0,4.572
USDRUB,1995-06-21,4.615,4.615,4.615,4.615,0,0.0,0.0,4.615
USDRUB,1995-06-22,4.69,4.69,4.69,4.69,0,0.0,0.0,4.69
USDRUB,1995-06-23,4.525,4.525,4.525,4.525,0,0.0,0.0,4.525
USDRUB,1995-06-26,4.532,4.532,4.532,4.532,0,0.0,0.0,4.532
USDRUB,1995-06-27,4.504,4.504,4.504,4.504,0,0.0,0.0,4.504
USDRUB,1995-06-28,4.53,4.53,4.53,4.53,0,0.0,0.0,4.53
USDRUB,1995-06-29,4.536,4.536,4.536,4.536,0,0.0,0.0,4.536
USDRUB,1995-06-30,4.537,4.537,4.537,4.537,0,0.0,0.0,4.537
USDRUB,1995-07-03,4.552,4.552,4.552,4.552,0,0.0,0.0,4.552
USDRUB,1995-07-04,4.565,4.565,4.565,4.565,0,0.0,0.0,4.565
USDRUB,1995-07-05,4.578,4.578,4.578,4.578,0,0.0,0.0,4.578
USDRUB,1995-07-06,4.597,4.597,4.597,4.597,0,0.0,0.0,4.597
USDRUB,1995-07-07,4.546,4.546,4.546,4.546,0,0.0,0.0,4.546
