symbol,date,open,high,low,close,volume,change,changePercent,vwap
^FTSE,1995-01-02,3065.5,3065.5,3065.5,3065.5,0,0.0,0.0,0.0
^FTSE,1995-01-03,3062.6,3066.5,3050.6,3065.7,0,3.1,0.10122,3061.35
^FTSE,1995-01-04,3063.9,3072.1,3051.5,3051.6,0,-12.3,-0.40145,3059.775
^FTSE,1995-01-05,3049.5,3049.5,3028.2,3032.3,0,-17.2,-0.56403,3039.875
^FTSE,1995-01-06,3027.4,3067.9,3019.9,3064.9,0,37.5,1.24,3045.025
^FTSE,1995-01-09,3065.2,3069.6,3054.0,3055.8,0,-9.4,-0.30667,3061.15
^FTSE,1995-01-10,3049.2,3060.5,3038.4,3060.4,0,11.2,0.36731,3052.125
^FTSE,1995-01-11,3050.0,3075.0,3042.4,3049.4,0,-0.6001,-0.01967213,3054.2
^FTSE,1995-01-12,3051.0,3060.0,3032.4,3033.2,0,-17.8,-0.58342,3044.15
^FTSE,1995-01-13,3024.2,3048.5,3016.1,3048.3,0,24.1,0.7969,3034.275
^FTSE,1995-01-16,3068.5,3076.7,3060.9,3076.7,0,8.2,0.26723,3070.7
^FTSE,1995-01-17,3081.2,3084.4,3054.0,3054.4,0,-26.8,-0.86979,3068.5
^FTSE,1995-01-18,3052.1,3061.0,3044.2,3054.9,0,2.8,0.09174011,3053.05
^FTSE,1995-01-19,3051.6,3051.6,3027.2,3028.6,0,-23.0,-0.7537,3039.75
^FTSE,1995-01-20,3002.3,3013.8,2989.0,2995.0,0,-7.3,-0.24315,3000.025
^FTSE,1995-01-23,2968.8,2992.0,2949.4,2954.2,0,-14.6,-0.49178,2966.1
^FTSE,1995-01-24,2970.9,2973.4,2964.6,2969.0,0,-1.9,-0.06395368,2969.475
^FTSE,1995-01-25,2970.9,2986.5,2964.4,2982.2,0,11.3,0.38036,2976.0
^FTSE,1995-01-26,2989.8,3010.2,2989.2,3007.3,0,17.5,0.58532,2999.125
^FTSE,1995-01-27,3007.3,3022.7,3006.4,3022.2,0,14.9,0.49546,3014.65
^FTSE,1995-01-30,3021.4,3021.4,2995.1,2995.9,0,-25.5,-0.84398,3008.45
^FTSE,1995-01-31,2984.0,2992.7,2983.4,2991.6,0,7.6,0.25469,2987.925
^FTSE,1995-02-01,3001.6,3024.0,3001.6,3017.3,0,15.7,0.52305,3011.125
^FTSE,1995-02-02,3018.2,3039.3,3013.5,3034.7,0,16.5,0.54668,3026.425
^FTSE,1995-02-03,3045.4,3059.7,3033.8,3059.7,0,14.3,0.46956,3049.65
^FTSE,1995-02-06,3075.3,3075.3,3061.6,3062.0,0,-13.3,-0.43248,3068.55
^FTSE,1995-02-07,3064.5,3086.4,3064.5,3072.7,0,8.2,0.26758,3072.025
^FTSE,1995-02-08,3066.4,3072.5,3060.7,3072.5,0,6.1,0.19893,3068.025
^FTSE,1995-02-09,3072.5,3102.7,3066.9,3099.0,0,26.5,0.86249,3085.275
^FTSE,1995-02-10,3099.1,3114.6,3099.0,3109.9,0,10.8,0.34849,3105.65
^FTSE,1995-02-13,3105.3,3108.3,3080.0,3081.1,0,-24.2,-0.77931,3093.675
^FTSE,1995-02-14,3079.0,3087.3,3071.2,3071.3,0,-7.7,-0.25008,3077.2
^FTSE,1995-02-15,3071.5,3074.9,3060.5,3074.9,0,3.4,0.1107,3070.45
