symbol,date,open,high,low,close,volume,change,changePercent,vwap
^GSPC,1995-01-03,459.21,459.27,457.2,459.11,262450000,-0.1,-0.02177653,458.53
^GSPC,1995-01-04,459.13,460.72,457.56,460.71,319510000,1.58,0.34413,459.66
^GSPC,1995-01-05,460.73,461.3,459.75,460.34,309050000,-0.39,-0.08464828,460.46
^GSPC,1995-01-06,460.38,462.49,459.47,460.68,308070000,0.3,0.06516356,460.88
^GSPC,1995-01-09,460.67,461.77,459.74,460.83,278790000,0.16,0.03473202,460.78
^GSPC,1995-01-10,460.9,464.59,460.9,461.68,352450000,0.78,0.16923,462.39
^GSPC,1995-01-11,461.68,463.61,458.65,461.66,346310000,-0.02,-0.004332,461.31
^GSPC,1995-01-12,461.64,461.93,460.63,461.64,313040000,0.0,0.0,461.4
^GSPC,1995-01-13,461.64,466.43,461.64,465.97,336740000,4.33,0.93796,464.68
^GSPC,1995-01-16,465.97,470.39,465.97,469.38,315810000,3.41,0.73181,468.58
^GSPC,1995-01-17,469.38,470.15,468.19,470.05,331520000,0.67,0.14274,469.46
^GSPC,1995-01-18,470.05,470.43,468.03,469.71,344660000,-0.34,-0.07233273,469.39
^GSPC,1995-01-19,469.72,469.72,466.4,466.95,297220000,-2.77,-0.58971,467.69
^GSPC,1995-01-20,466.95,466.99,463.99,464.78,378190000,-2.17,-0.46472,465.25
^GSPC,1995-01-23,464.78,466.23,461.14,465.82,325830000,1.04,0.22376,464.4
^GSPC,1995-01-24,465.81,466.88,465.47,465.86,315430000,0.05,0.01073399,466.07
^GSPC,1995-01-25,465.86,469.51,464.4,467.44,342610000,1.58,0.33916,467.12
^GSPC,1995-01-26,467.44,468.62,466.9,468.32,304730000,0.88,0.18826,467.95
^GSPC,1995-01-27,468.32,471.36,468.32,470.39,339510000,2.07,0.44201,470.02
^GSPC,1995-01-30,470.39,470.52,467.49,468.51,318550000,-1.88,-0.39967,468.84
^GSPC,1995-01-31,468.51,471.03,468.18,470.42,411590000,1.91,0.40768,469.88
^GSPC,1995-02-01,470.42,472.75,469.29,470.4,395310000,-0.02,-0.00425152,470.81
^GSPC,1995-02-02,470.4,472.79,469.95,472.79,322110000,2.39,0.50808,471.84
^GSPC,1995-02-03,472.78,479.91,472.78,478.65,441000000,5.87,1.24,477.11
^GSPC,1995-02-06,478.64,481.95,478.36,481.14,325660000,2.5,0.52231,480.48
^GSPC,1995-02-07,481.14,481.32,479.69,480.81,314660000,-0.33,-0.06858711,480.61
^GSPC,1995-02-08,480.81,482.6,480.4,481.19,318430000,0.38,0.0790333,481.4
^GSPC,1995-02-09,481.19,482.0,479.91,480.19,325570000,-1.0,-0.20782,480.7
^GSPC,1995-02-10,480.19,481.96,479.53,481.46,295600000,1.27,0.26448,480.98
^GSPC,1995-02-13,481.46,482.86,481.07,481.65,256270000,0.19,0.0394633,481.86
^GSPC,1995-02-14,481.65,482.94,480.89,482.55,300720000,0.9,0.18686,482.13
^GSPC,1995-02-15,482.55,485.54,481.77,484.54,378040000,1.99,0.41239,483.95
^GSPC,1995-02-16,484.56,485.22,483.05,485.22,360990000,0.66,0.13621,484.5
^GSPC,1995-02-17,485.15,485.22,481.97,481.97,347970000,-3.18,-0.65547,483.05
^GSPC,1995-02-21,481.95,483.26,481.94,482.72,308090000,0.77,0.15977,482.64
^GSPC,1995-02-22,482.74,486.15,482.45,485.07,339460000,2.33,0.48266,484.56
^GSPC,1995-02-23,485.07,489.19,485.07,486.91,394280000,1.84,0.37933,487.06
^GSPC,1995-02-24,486.82,488.28,485.7,488.11,302930000,1.29,0.26499,487.36
^GSPC,1995-02-27,488.26,488.26,483.18,483.81,285790000,-4.45,-0.9114,485.08
^GSPC,1995-02-28,483.81,487.44,483.77,487.39,317220000,3.58,0.73996,486.2
^GSPC,1995-03-01,487.39,487.83,484.92,485.65,362600000,-1.74,-0.357,486.13
^GSPC,1995-03-02,485.65,485.71,483.19,485.13,330030000,-0.52,-0.10707,484.68
^GSPC,1995-03-03,485.13,485.42,483.07,485.42,330840000,0.29,0.05977779,484.64
^GSPC,1995-03-06,485.42,485.7,481.52,485.63,298870000,0.21,0.04326151,484.28
^GSPC,1995-03-07,485.63,485.63,479.7,482.12,355550000,-3.51,-0.72277,482.48
^GSPC,1995-03-08,482.12,484.08,481.57,483.14,349780000,1.02,0.21157,482.93
^GSPC,1995-03-09,483.14,483.74,482.05,483.16,319320000,0.02,0.00413959,482.98
^GSPC,1995-03-10,483.16,490.37,483.16,489.57,382940000,6.41,1.33,487.7
^GSPC,1995-03-13,489.57,491.28,489.35,490.05,275280000,0.48,0.09804522,490.23
^GSPC,1995-03-14,490.05,493.69,490.05,492.89,346160000,2.84,0.57953,492.21
^GSPC,1995-03-15,492.89,492.89,490.83,491.88,309540000,-1.01,-0.20491,491.87
^GSPC,1995-03-16,491.87,495.74,491.78,495.41,336670000,3.54,0.7197,494.31
^GSPC,1995-03-17,495.43,496.67,494.95,495.52,417380000,0.09,0.01816604,495.71
^GSPC,1995-03-20,495.52,496.61,495.27,496.14,301740000,0.62,0.12512,496.01
^GSPC,1995-03-21,496.15,499.19,494.04,495.07,367110000,-1.08,-0.21768,496.1
^GSPC,1995-03-22,495.07,495.67,493.67,495.67,313120000,0.6,0.12119,495.0
^GSPC,1995-03-23,495.67,496.77,494.19,495.95,318530000,0.28,0.0564892,495.64
^GSPC,1995-03-24,496.07,500.97,496.07,500.97,358370000,4.9,0.98776,499.34
^GSPC,1995-03-27,500.97,503.2,500.93,503.2,296270000,2.23,0.44514,502.44
^GSPC,1995-03-28,503.19,503.91,501.83,503.9,320360000,0.71,0.1411,503.21
^GSPC,1995-03-29,503.92,508.15,500.96,503.12,385940000,-0.8,-0.15876,504.08
^GSPC,1995-03-30,503.17,504.66,501.0,502.22,362940000,-0.95,-0.1888,502.63
^GSPC,1995-03-31,501.94,502.22,495.7,500.71,353060000,-1.23,-0.24505,499.54
^GSPC,1995-04-03,500.7,501.91,500.2,501.85,296430000,1.15,0.22968,501.32
^GSPC,1995-04-04,501.85,505.26,501.85,505.24,330580000,3.39,0.6755,504.12
^GSPC,1995-04-05,505.27,505.57,503.17,505.57,315170000,0.3,0.0593742,504.77
^GSPC,1995-04-06,505.63,507.1,505.0,506.08,320460000,0.45,0.08899788,506.06
^GSPC,1995-04-07,506.13,507.19,503.59,506.42,314760000,0.29,0.05729753,505.73
^GSPC,1995-04-10,506.3,507.01,504.61,507.01,260980000,0.71,0.14023,506.21
^GSPC,1995-04-11,507.24,508.85,505.29,505.53,310660000,-1.71,-0.33712,506.56
^GSPC,1995-04-12,505.59,507.17,505.07,507.17,327880000,1.58,0.31251,506.47
^GSPC,1995-04-13,507.19,509.83,507.17,509.23,301580000,2.04,0.40222,508.74
^GSPC,1995-04-17,509.23,512.03,505.43,506.13,333930000,-3.1,-0.60876,507.86
^GSPC,1995-04-18,506.43,507.65,504.12,505.37,344680000,-1.06,-0.20931,505.71
^GSPC,1995-04-19,505.37,505.89,501.19,504.92,378050000,-0.45,-0.08904367,504.0
^GSPC,1995-04-20,504.92,506.5,503.44,505.29,368450000,0.37,0.07327894,505.08
^GSPC,1995-04-21,505.63,508.49,505.63,508.49,403250000,2.86,0.56563,507.54
^GSPC,1995-04-24,508.49,513.02,507.44,512.89,326280000,4.4,0.86531,511.12
^GSPC,1995-04-25,512.8,513.54,511.32,512.1,351790000,-0.7,-0.13651,512.32
^GSPC,1995-04-26,511.99,513.04,510.47,512.66,350810000,0.67,0.13086,512.06
^GSPC,1995-04-27,512.7,513.62,511.63,513.55,350850000,0.85,0.16579,512.93
^GSPC,1995-04-28,513.64,515.29,510.9,514.71,320440000,1.07,0.20832,513.63
^GSPC,1995-05-01,514.76,515.6,513.42,514.26,296830000,-0.5,-0.09713264,514.43
^GSPC,1995-05-02,514.23,515.18,513.03,514.86,302560000,0.63,0.12251,514.36
^GSPC,1995-05-03,514.93,520.54,514.86,520.48,392370000,5.55,1.08,518.63
^GSPC,1995-05-04,520.48,525.4,519.44,520.54,434990000,0.06,0.01152782,521.79
^GSPC,1995-05-05,520.75,522.35,518.28,520.12,342380000,-0.63,-0.12098,520.25
^GSPC,1995-05-08,520.09,525.15,519.14,523.96,291810000,3.87,0.7441,522.75
^GSPC,1995-05-09,523.96,525.99,521.79,523.56,361300000,-0.4,-0.07634171,523.78
^GSPC,1995-05-10,523.74,524.4,521.53,524.36,381990000,0.62,0.11838,523.43
^GSPC,1995-05-11,524.33,524.89,522.7,524.37,339900000,0.04,0.00762878,523.99
^GSPC,1995-05-12,524.37,527.05,523.3,525.55,361000000,1.18,0.22503,525.3
^GSPC,1995-05-15,525.55,527.74,525.0,527.74,316240000,2.19,0.41671,526.83
^GSPC,1995-05-16,527.74,529.08,526.45,528.19,366180000,0.45,0.08526926,527.91
^GSPC,1995-05-17,528.19,528.42,525.38,527.07,347930000,-1.12,-0.21204,526.96
^GSPC,1995-05-18,526.88,526.88,519.58,519.58,351900000,-7.3,-1.39,522.01
^GSPC,1995-05-19,519.58,519.58,517.07,519.19,354010000,-0.39,-0.07506063,518.61
^GSPC,1995-05-22,519.19,524.34,519.19,523.65,285600000,4.46,0.85903,522.39
^GSPC,1995-05-23,523.65,528.59,523.65,528.59,362690000,4.94,0.94338,526.94
^GSPC,1995-05-24,528.59,531.91,525.57,528.61,391770000,0.02,0.00378365,528.7
^GSPC,1995-05-25,528.37,529.04,524.89,528.59,341820000,0.22,0.04163749,527.51
^GSPC,1995-05-26,528.59,528.59,522.51,523.65,291220000,-4.94,-0.93456,524.92
^GSPC,1995-05-30,523.65,525.58,521.38,523.58,283020000,-0.07,-0.01336771,523.51
^GSPC,1995-05-31,523.7,533.41,522.17,533.4,358180000,9.7,1.85,529.66
^GSPC,1995-06-01,533.4,534.21,530.05,533.49,345920000,0.09,0.01687289,532.58
^GSPC,1995-06-02,533.49,536.91,529.55,532.51,366000000,-0.98,-0.1837,532.99
^GSPC,1995-06-05,532.51,537.73,532.47,535.6,337520000,3.09,0.58027,535.27
^GSPC,1995-06-06,535.6,537.09,535.14,535.55,340490000,-0.05,-0.00933532,535.93
^GSPC,1995-06-07,535.55,535.55,531.66,533.13,327790000,-2.42,-0.45187,533.45
^GSPC,1995-06-08,533.13,533.56,531.65,532.35,289880000,-0.78,-0.14631,532.52
^GSPC,1995-06-09,532.35,532.35,526.0,527.94,327570000,-4.41,-0.8284,528.76
^GSPC,1995-06-12,527.94,532.54,527.94,530.88,289920000,2.94,0.55688,530.45
^GSPC,1995-06-13,530.88,536.23,530.88,536.05,339660000,5.17,0.97385,534.39
^GSPC,1995-06-14,536.05,536.48,533.83,536.47,330770000,0.42,0.0783509,535.59
^GSPC,1995-06-15,536.48,539.07,535.56,537.12,334700000,0.64,0.1193,537.25
^GSPC,1995-06-16,537.51,539.98,537.12,539.83,442740000,2.32,0.43162,538.98
^GSPC,1995-06-19,539.83,545.22,539.83,545.22,322990000,5.39,0.99846,543.42
^GSPC,1995-06-20,545.22,545.44,543.43,544.98,382370000,-0.24,-0.04401893,544.62
^GSPC,1995-06-21,544.98,545.93,543.9,543.98,398210000,-1.0,-0.18349,544.6
^GSPC,1995-06-22,543.98,551.07,543.98,551.07,421000000,7.09,1.3,548.71
^GSPC,1995-06-23,551.07,551.07,548.23,549.71,321660000,-1.36,-0.24679,549.67
^GSPC,1995-06-26,549.71,549.79,544.06,544.13,296720000,-5.58,-1.02,545.99
^GSPC,1995-06-27,544.11,547.07,542.19,542.43,346950000,-1.68,-0.30876,543.9
^GSPC,1995-06-28,542.43,546.33,540.72,544.73,368060000,2.3,0.42402,543.93
^GSPC,1995-06-29,544.73,546.25,540.79,543.87,313080000,-0.86,-0.15788,543.64
^GSPC,1995-06-30,543.87,546.82,543.51,544.75,311650000,0.88,0.1618,545.03
^GSPC,1995-07-03,544.75,547.1,544.43,547.09,117900000,2.34,0.42955,546.21
^GSPC,1995-07-05,547.09,549.98,546.28,547.26,357850000,0.17,0.0310735,547.84
^GSPC,1995-07-06,547.26,553.99,546.59,553.99,420500000,6.73,1.23,551.52
^GSPC,1995-07-07,553.9,556.57,553.05,556.37,466540000,2.47,0.44593,555.33
^GSPC,1995-07-10,556.37,558.48,555.77,557.19,409700000,0.82,0.14738,557.15
^GSPC,1995-07-11,556.78,557.19,553.8,554.78,376770000,-2.0,-0.35921,555.26
^GSPC,1995-07-12,555.27,561.56,554.27,560.89,416360000,5.62,1.01,558.91
^GSPC,1995-07-13,560.89,562.0,559.07,561.0,387500000,0.11,0.01961169,560.69
^GSPC,1995-07-14,561.0,561.0,556.41,559.89,312930000,-1.11,-0.19786,559.1
^GSPC,1995-07-17,560.34,562.94,559.45,562.72,322540000,2.38,0.42474,561.7
^GSPC,1995-07-18,562.55,562.72,556.86,558.46,372230000,-4.09,-0.72705,559.35
^GSPC,1995-07-19,556.58,558.46,542.51,550.98,489850000,-5.6,-1.01,550.65
^GSPC,1995-07-20,550.98,554.43,549.1,553.54,383380000,2.56,0.46463,552.36
^GSPC,1995-07-21,553.34,554.73,550.91,553.62,431830000,0.28,0.0506018,553.09
^GSPC,1995-07-24,553.62,557.21,553.62,556.63,315300000,3.01,0.54369,555.82
^GSPC,1995-07-25,556.63,561.75,556.34,561.1,373200000,4.47,0.80305,559.73
^GSPC,1995-07-26,561.1,563.78,560.85,561.61,393470000,0.51,0.09089289,562.08
^GSPC,1995-07-27,561.61,565.33,561.61,565.22,356570000,3.61,0.64279,564.05
^GSPC,1995-07-28,565.22,565.4,562.04,562.93,311590000,-2.29,-0.40515,563.46
^GSPC,1995-07-31,562.93,563.49,560.06,562.06,291950000,-0.87,-0.15455,561.87
^GSPC,1995-08-01,562.06,562.11,556.67,559.64,332210000,-2.42,-0.43056,559.47
^GSPC,1995-08-02,559.64,565.62,557.87,558.8,374330000,-0.84,-0.1501,560.76
^GSPC,1995-08-03,558.8,558.8,554.1,558.75,353110000,-0.05,-0.00894775,557.22
^GSPC,1995-08-04,558.75,559.57,557.91,558.94,314740000,0.19,0.03400447,558.81
^GSPC,1995-08-07,558.94,561.24,558.94,560.03,277050000,1.09,0.19501,560.07
^GSPC,1995-08-08,560.03,561.53,558.32,560.39,306090000,0.36,0.06428227,560.08
^GSPC,1995-08-09,560.39,561.59,559.29,559.71,303390000,-0.68,-0.12134,560.2
^GSPC,1995-08-10,559.71,560.63,556.05,557.45,306660000,-2.26,-0.40378,558.04
^GSPC,1995-08-11,557.45,558.5,553.04,555.11,267850000,-2.34,-0.41977,555.55
^GSPC,1995-08-14,555.11,559.74,554.76,559.74,264920000,4.63,0.83407,558.08
^GSPC,1995-08-15,559.74,559.98,555.22,558.57,330070000,-1.17,-0.20903,557.92
^GSPC,1995-08-16,558.57,559.98,557.37,559.97,390170000,1.4,0.25064,559.11
^GSPC,1995-08-17,559.97,559.97,557.42,559.04,354460000,-0.93,-0.16608,558.81
^GSPC,1995-08-18,559.04,561.24,558.34,559.21,320490000,0.17,0.03040927,559.6
^GSPC,1995-08-21,559.21,563.34,557.89,558.11,303200000,-1.1,-0.19671,559.78
^GSPC,1995-08-22,558.11,559.52,555.87,559.52,290890000,1.41,0.25264,558.3
^GSPC,1995-08-23,559.52,560.0,557.08,557.14,291890000,-2.38,-0.42536,558.07
^GSPC,1995-08-24,557.14,558.63,555.2,557.46,299200000,0.32,0.05743619,557.1
^GSPC,1995-08-25,557.46,561.31,557.46,560.1,255990000,2.64,0.47358,559.62
^GSPC,1995-08-28,560.1,562.22,557.99,559.05,267860000,-1.05,-0.18747,559.75
^GSPC,1995-08-29,559.05,560.01,555.71,560.0,311290000,0.95,0.16993,558.57
^GSPC,1995-08-30,560.0,561.52,559.49,560.92,329840000,0.92,0.16429,560.64
^GSPC,1995-08-31,561.09,562.36,560.49,561.88,300920000,0.79,0.1408,561.58
^GSPC,1995-09-01,561.88,564.62,561.01,563.84,256730000,1.96,0.34883,563.16
^GSPC,1995-09-05,563.86,569.2,563.84,569.17,332670000,5.31,0.94172,567.4
