symbol,date,open,high,low,close,volume,change,changePercent,vwap
USDCUSD,2018-10-08,1.0041,1.00768,1.0019,1.00221,382900,-0.00189,-0.18823,1.00397
USDCUSD,2018-10-09,1.00427,1.00833,1.00003,1.00686,108803,0.00259,0.2579,1.00487
USDCUSD,2018-10-10,1.00494,1.01908,1.00397,1.00962,711783,0.00468,0.4657,1.0094
USDCUSD,2018-10-11,1.00994,1.03123,1.00173,1.00978,4177290,-0.00016,-0.01584253,1.01317
USDCUSD,2018-10-12,1.00861,1.01871,1.00114,1.01272,1322240,0.00411,0.40749,1.0103
USDCUSD,2018-10-13,1.01445,1.02029,1.00355,1.00743,698507,-0.00702,-0.692,1.01143
USDCUSD,2018-10-14,1.00726,1.02251,1.00492,1.01631,982750,0.00905,0.89848,1.01275
USDCUSD,2018-10-15,1.0169,1.11373,0.99837,1.0268,10660400,0.0099,0.97355,1.03895
USDCUSD,2018-10-16,1.02723,1.03551,1.01899,1.02143,2124080,-0.0058,-0.56463,1.02579
USDCUSD,2018-10-17,1.02404,1.02653,1.01058,1.01219,1102740,-0.01185,-1.15718,1.01834
USDCUSD,2018-10-18,1.01466,1.02062,1.00923,1.01489,1182450,0.00023,0.02266769,1.01485
USDCUSD,2018-10-19,1.01475,1.01643,1.00631,1.00698,715078,-0.00777,-0.76571,1.01112
USDCUSD,2018-10-20,1.00749,1.01363,1.00255,1.00643,299871,-0.00106,-0.10521,1.00753
USDCUSD,2018-10-21,1.00682,1.01961,1.0032,1.0129,509276,0.00608,0.60388,1.01063
USDCUSD,2018-10-22,1.01231,1.0248,1.00329,1.0093,1211160,-0.00301,-0.29734,1.01242
USDCUSD,2018-10-23,1.00923,1.01796,1.00747,1.01059,1503840,0.00136,0.13476,1.01131
USDCUSD,2018-10-24,1.00938,1.01209,1.00238,1.01002,923940,0.00064,0.06340526,1.00847
USDCUSD,2018-10-25,1.01046,1.01369,1.0019,1.00797,1365520,-0.00249,-0.24642,1.00851
USDCUSD,2018-10-26,1.00611,1.01552,1.00352,1.01163,950623,0.00552,0.54865,1.0092
USDCUSD,2018-10-27,1.01208,1.01489,1.00107,1.00824,712963,-0.00384,-0.37942,1.00907
USDCUSD,2018-10-28,1.00662,1.01496,1.00273,1.01107,282707,0.00445,0.44207,1.00885
USDCUSD,2018-10-29,1.01083,1.019,1.00553,1.00837,1983680,-0.00246,-0.24336,1.01093
