symbol,date,open,high,low,close,volume,change,changePercent,vwap
EURUSD,1995-01-03,1.24591,1.24591,1.24161,1.24161,0,-0.0043,-0.34513,1.24376
EURUSD,1995-01-04,1.24161,1.24581,1.24161,1.24581,0,0.0042,0.33827,1.24371
EURUSD,1995-01-05,1.24581,1.24581,1.23801,1.23801,0,-0.0078,-0.6261,1.24191
EURUSD,1995-01-06,1.23801,1.24811,1.23801,1.24811,0,0.0101,0.81583,1.24306
EURUSD,1995-01-09,1.24811,1.25031,1.24811,1.25031,0,0.0022,0.17627,1.24921
EURUSD,1995-01-10,1.25031,1.25301,1.25031,1.25301,0,0.0027,0.21595,1.25166
EURUSD,1995-01-11,1.25301,1.25831,1.25301,1.25831,0,0.0053,0.42298,1.25566
EURUSD,1995-01-12,1.25831,1.25831,1.25331,1.25331,0,-0.005,-0.39736,1.25581
EURUSD,1995-01-13,1.25331,1.25661,1.25331,1.25661,0,0.0033,0.2633,1.25496
EURUSD,1995-01-17,1.25661,1.25771,1.25661,1.25771,0,0.0011,0.0875371,1.25716
EURUSD,1995-01-18,1.25771,1.26351,1.25771,1.26351,0,0.0058,0.46116,1.26061
EURUSD,1995-01-19,1.26351,1.27211,1.26351,1.27211,0,0.0086,0.68064,1.26781
EURUSD,1995-01-20,1.27211,1.27221,1.27211,1.27221,0,0.0001,0.00786096,1.27216
EURUSD,1995-01-23,1.27221,1.27221,1.27221,1.27221,0,0.0,0.0,1.27221
EURUSD,1995-01-24,1.27221,1.27221,1.26861,1.26861,0,-0.0036,-0.28297,1.27041
EURUSD,1995-01-25,1.26861,1.26981,1.26861,1.26981,0,0.0012,0.09459172,1.26921
EURUSD,1995-01-26,1.26981,1.26981,1.26831,1.26831,0,-0.0015,-0.11813,1.26906
EURUSD,1995-01-27,1.26831,1.27601,1.26831,1.27601,0,0.0077,0.60711,1.27216
EURUSD,1995-01-30,1.27601,1.27601,1.26181,1.26181,0,-0.0142,-1.11284,1.26891
EURUSD,1995-01-31,1.26181,1.26341,1.26181,1.26341,0,0.0016,0.1268,1.26261
EURUSD,1995-02-01,1.26341,1.26671,1.26341,1.26671,0,0.0033,0.2612,1.26506
EURUSD,1995-02-02,1.26671,1.26671,1.26021,1.26021,0,-0.0065,-0.51314,1.26346
EURUSD,1995-02-03,1.26021,1.26021,1.25761,1.25761,0,-0.0026,-0.20631,1.25891
EURUSD,1995-02-06,1.25761,1.25761,1.25431,1.25431,0,-0.0033,-0.2624,1.25596
EURUSD,1995-02-07,1.25431,1.25731,1.25431,1.25731,0,0.003,0.23918,1.25581
EURUSD,1995-02-08,1.25731,1.26051,1.25731,1.26051,0,0.0032,0.25451,1.25891
EURUSD,1995-02-09,1.26051,1.26551,1.26051,1.26551,0,0.005,0.39666,1.26301
EURUSD,1995-02-10,1.26551,1.26581,1.26551,1.26581,0,0.0003,0.02370586,1.26566
EURUSD,1995-02-13,1.26581,1.27131,1.26581,1.27131,0,0.0055,0.4345,1.26856
EURUSD,1995-02-14,1.27131,1.27261,1.27131,1.27261,0,0.0013,0.10226,1.27196
EURUSD,1995-02-15,1.27261,1.28561,1.27261,1.28561,0,0.013,1.02152,1.27911
EURUSD,1995-02-16,1.28561,1.28681,1.28561,1.28681,0,0.0012,0.0933409,1.28621
EURUSD,1995-02-17,1.28681,1.29461,1.28681,1.29461,0,0.0078,0.60615,1.29071
EURUSD,1995-02-21,1.29461,1.29791,1.29461,1.29791,0,0.0033,0.2549,1.29626
EURUSD,1995-02-22,1.29791,1.29961,1.29791,1.29961,0,0.0017,0.13098,1.29876
EURUSD,1995-02-23,1.29961,1.29961,1.29861,1.29861,0,-0.001,-0.07694616,1.29911
EURUSD,1995-02-24,1.29861,1.30171,1.29861,1.30171,0,0.0031,0.23872,1.30016
EURUSD,1995-02-27,1.30171,1.31001,1.30171,1.31001,0,0.0083,0.63762,1.30586
EURUSD,1995-02-28,1.31001,1.31001,1.30221,1.30221,0,-0.0078,-0.59542,1.30611
EURUSD,1995-03-01,1.30221,1.30571,1.30221,1.30571,0,0.0035,0.26877,1.30396
EURUSD,1995-03-02,1.30571,1.32361,1.30571,1.32361,0,0.0179,1.3709,1.31466
EURUSD,1995-03-03,1.32361,1.34531,1.32361,1.34531,0,0.0217,1.63946,1.33446
EURUSD,1995-03-06,1.34531,1.36031,1.34531,1.36031,0,0.015,1.11498,1.35281
EURUSD,1995-03-07,1.36031,1.36031,1.34631,1.34631,0,-0.014,-1.02918,1.35331
EURUSD,1995-03-08,1.34631,1.34631,1.34601,1.34601,0,-0.0003,-0.02228313,1.34616
EURUSD,1995-03-09,1.34601,1.34601,1.32731,1.32731,0,-0.0187,-1.38929,1.33666
EURUSD,1995-03-10,1.32731,1.32911,1.32731,1.32911,0,0.0018,0.13561,1.32821
EURUSD,1995-03-13,1.32911,1.32911,1.32821,1.32821,0,-0.0009,-0.06771449,1.32866
EURUSD,1995-03-14,1.32821,1.34791,1.32821,1.34791,0,0.0197,1.4832,1.33806
EURUSD,1995-03-15,1.34791,1.34791,1.33821,1.33821,0,-0.0097,-0.71963,1.34306
EURUSD,1995-03-16,1.33821,1.34271,1.33821,1.34271,0,0.0045,0.33627,1.34046
EURUSD,1995-03-17,1.34271,1.34271,1.33231,1.33231,0,-0.0104,-0.77455,1.33751
EURUSD,1995-03-20,1.33231,1.33231,1.32591,1.32591,0,-0.0064,-0.48037,1.32911
EURUSD,1995-03-21,1.32591,1.33181,1.32591,1.33181,0,0.0059,0.44498,1.32886
EURUSD,1995-03-22,1.33181,1.33181,1.33081,1.33081,0,-0.001,-0.07508579,1.33131
EURUSD,1995-03-23,1.33081,1.33081,1.32271,1.32271,0,-0.0081,-0.60865,1.32676
EURUSD,1995-03-24,1.32271,1.33511,1.32271,1.33511,0,0.0124,0.93747,1.32891
EURUSD,1995-03-27,1.33511,1.34551,1.33511,1.34551,0,0.0104,0.77896,1.34031
EURUSD,1995-03-28,1.34551,1.35061,1.34551,1.35061,0,0.0051,0.37904,1.34806
EURUSD,1995-03-29,1.35061,1.35061,1.33291,1.33291,0,-0.0177,-1.31052,1.34176
EURUSD,1995-03-30,1.33291,1.35951,1.33291,1.35951,0,0.0266,1.99563,1.34621
EURUSD,1995-03-31,1.35951,1.35981,1.35951,1.35981,0,0.0003,0.02206677,1.35966
EURUSD,1995-04-03,1.35981,1.35981,1.35321,1.35321,0,-0.0066,-0.48536,1.35651
EURUSD,1995-04-04,1.35321,1.35741,1.35321,1.35741,0,0.0042,0.31037,1.35531
EURUSD,1995-04-05,1.35741,1.36371,1.35741,1.36371,0,0.0063,0.46412,1.36056
EURUSD,1995-04-06,1.36371,1.36371,1.36001,1.36001,0,-0.0037,-0.27132,1.36186
EURUSD,1995-04-07,1.36001,1.36001,1.33871,1.33871,0,-0.0213,-1.56616,1.34936
EURUSD,1995-04-10,1.33871,1.34521,1.33871,1.34521,0,0.0065,0.48554,1.34196
EURUSD,1995-04-11,1.34521,1.34521,1.34211,1.34211,0,-0.0031,-0.23045,1.34366
EURUSD,1995-04-12,1.34211,1.35811,1.34211,1.35811,0,0.016,1.19215,1.35011
EURUSD,1995-04-13,1.35811,1.35811,1.35621,1.35621,0,-0.0019,-0.1399,1.35716
EURUSD,1995-04-14,1.35621,1.37551,1.35621,1.37551,0,0.0193,1.42308,1.36586
EURUSD,1995-04-17,1.37551,1.37661,1.37551,1.37661,0,0.0011,0.07997034,1.37606
EURUSD,1995-04-18,1.37661,1.37801,1.37661,1.37801,0,0.0014,0.1017,1.37731
EURUSD,1995-04-19,1.37801,1.37801,1.35761,1.35761,0,-0.0204,-1.4804,1.36781
EURUSD,1995-04-20,1.35761,1.36321,1.35761,1.36321,0,0.0056,0.41249,1.36041
EURUSD,1995-04-21,1.36321,1.36541,1.36321,1.36541,0,0.0022,0.16138,1.36431
EURUSD,1995-04-24,1.36541,1.37301,1.36541,1.37301,0,0.0076,0.55661,1.36921
EURUSD,1995-04-25,1.37301,1.37301,1.36461,1.36461,0,-0.0084,-0.61179,1.36881
EURUSD,1995-04-26,1.36461,1.36541,1.36461,1.36541,0,0.0008,0.05862481,1.36501
EURUSD,1995-04-27,1.36541,1.36541,1.35891,1.35891,0,-0.0065,-0.47605,1.36216
EURUSD,1995-04-28,1.35891,1.35891,1.35641,1.35641,0,-0.0025,-0.18397,1.35766
EURUSD,1995-05-01,1.35641,1.36411,1.35641,1.36411,0,0.0077,0.56767,1.36026
