symbol,date,open,high,low,close,volume,change,changePercent,vwap
BZUSD,2006-05-25,70.71,70.71,70.71,70.71,150,0.0,0.0,70.71
BZUSD,2006-05-26,70.59,70.59,70.59,70.59,150,0.0,0.0,70.59
BZUSD,2006-05-30,71.05,71.05,71.05,71.05,150,0.0,0.0,71.05
BZUSD,2006-05-31,70.41,70.41,70.41,70.41,150,0.0,0.0,70.41
BZUSD,2006-06-01,69.39,69.39,69.39,69.39,150,0.0,0.0,69.39
BZUSD,2006-06-02,71.03,71.03,71.03,71.03,150,0.0,0.0,71.03
BZUSD,2006-06-05,71.37,71.37,71.37,71.37,150,0.0,0.0,71.37
BZUSD,2006-06-06,70.81,70.81,70.81,70.81,150,0.0,0.0,70.81
BZUSD,2006-06-07,69.19,69.19,69.19,69.19,150,0.0,0.0,69.19
BZUSD,2006-06-08,69.05,69.05,69.05,69.05,150,0.0,0.0,69.05
BZUSD,2006-06-09,70.48,70.48,70.48,70.48,150,0.0,0.0,70.48
BZUSD,2006-06-14,68.49,68.49,68.49,68.49,150,0.0,0.0,68.49
BZUSD,2006-06-15,68.45,68.45,68.45,68.45,150,0.0,0.0,68.45
BZUSD,2006-06-16,68.8,68.8,68.8,68.8,150,0.0,0.0,68.8
BZUSD,2006-06-19,68.11,68.11,68.11,68.11,150,0.0,0.0,68.11
BZUSD,2006-06-20,68.04,68.04,68.04,68.04,41,0.0,0.0,68.04
BZUSD,2006-06-21,69.17,69.17,69.17,69.17,41,0.0,0.0,69.17
BZUSD,2006-06-22,69.95,69.95,69.95,69.95,41,0.0,0.0,69.95
BZUSD,2006-06-23,69.93,69.93,69.93,69.93,41,0.0,0.0,69.93
BZUSD,2006-06-26,70.73,70.73,70.73,70.73,41,0.0,0.0,70.73
BZUSD,2006-06-27,71.22,71.22,71.08,71.08,41,-0.14,-0.19657,71.15
BZUSD,2006-06-28,71.46,71.46,71.31,71.31,41,-0.15,-0.20991,71.385
BZUSD,2006-06-29,72.92,72.92,72.92,72.92,41,0.0,0.0,72.92
BZUSD,2006-06-30,73.38,73.38,73.38,73.38,41,0.0,0.0,73.38
BZUSD,2006-07-05,73.98,73.98,73.98,73.98,41,0.0,0.0,73.98
BZUSD,2006-07-06,74.08,74.08,74.08,74.08,41,0.0,0.0,74.08
BZUSD,2006-07-07,73.51,73.51,73.51,73.51,150,0.0,0.0,73.51
BZUSD,2006-07-10,72.89,72.89,72.89,72.89,150,0.0,0.0,72.89
BZUSD,2006-07-11,74.19,74.19,74.19,74.19,500,0.0,0.0,74.19
BZUSD,2006-07-12,74.96,74.96,74.96,74.96,500,0.0,0.0,74.96
BZUSD,2006-07-13,77.19,77.19,77.19,77.19,500,0.0,0.0,77.19
BZUSD,2006-07-14,77.58,77.58,77.58,77.58,500,0.0,0.0,77.58
BZUSD,2006-07-17,75.92,75.92,75.92,75.92,500,0.0,0.0,75.92
BZUSD,2006-07-18,74.36,74.36,74.36,74.36,500,0.0,0.0,74.36
BZUSD,2006-07-19,73.9,73.9,73.9,73.9,500,0.0,0.0,73.9
BZUSD,2006-07-20,73.72,73.72,73.72,73.72,500,0.0,0.0,73.72
BZUSD,2006-07-21,73.74,73.75,73.74,73.75,500,0.01,0.01356116,73.745
BZUSD,2006-07-24,74.61,74.61,74.61,74.61,500,0.0,0.0,74.61
BZUSD,2006-07-25,73.28,73.28,73.28,73.28,500,0.0,0.0,73.28
BZUSD,2006-07-26,74.0,74.0,74.0,74.0,500,0.0,0.0,74.0
BZUSD,2006-07-27,75.01,75.01,75.01,75.01,500,0.0,0.0,75.01
BZUSD,2006-07-28,73.39,73.39,73.39,73.39,500,0.0,0.0,73.39
BZUSD,2006-07-31,75.15,75.15,75.15,75.15,500,0.0,0.0,75.15
BZUSD,2006-08-01,75.89,75.89,75.89,75.89,500,0.0,0.0,75.89
BZUSD,2006-08-02,76.89,76.89,76.89,76.89,500,0.0,0.0,76.89
BZUSD,2006-08-03,76.56,76.56,76.56,76.56,500,0.0,0.0,76.56
BZUSD,2006-08-04,76.17,76.17,76.17,76.17,500,0.0,0.0,76.17
BZUSD,2006-08-07,78.3,78.3,78.3,78.3,500,0.0,0.0,78.3
BZUSD,2006-08-08,77.55,77.55,77.55,77.55,500,0.0,0.0,77.55
BZUSD,2006-08-09,77.28,77.28,77.28,77.28,500,0.0,0.0,77.28
BZUSD,2006-08-10,75.28,75.28,75.28,75.28,500,0.0,0.0,75.28
BZUSD,2006-08-11,75.51,75.51,75.51,75.51,0,0.0,0.0,75.51
BZUSD,2006-08-14,74.43,74.43,74.43,74.43,0,0.0,0.0,74.43
BZUSD,2006-08-15,73.77,73.77,73.77,73.77,0,0.0,0.0,73.77
BZUSD,2006-08-16,72.83,72.83,72.83,72.83,0,0.0,0.0,72.83
BZUSD,2006-08-17,71.58,71.58,71.58,71.58,0,0.0,0.0,71.58
BZUSD,2006-08-18,72.3,72.3,72.3,72.3,0,0.0,0.0,72.3
BZUSD,2006-08-21,73.38,73.38,73.38,73.38,0,0.0,0.0,73.38
BZUSD,2006-08-22,73.24,73.24,73.24,73.24,0,0.0,0.0,73.24
BZUSD,2006-08-23,72.02,72.02,72.02,72.02,0,0.0,0.0,72.02
BZUSD,2006-08-24,72.68,72.68,72.68,72.68,0,0.0,0.0,72.68
BZUSD,2006-08-25,72.7,72.7,72.7,72.7,0,0.0,0.0,72.7
BZUSD,2006-08-28,70.82,70.82,70.82,70.82,0,0.0,0.0,70.82
BZUSD,2006-08-29,69.86,69.86,69.86,69.86,0,0.0,0.0,69.86
BZUSD,2006-08-30,70.18,70.18,70.18,70.18,0,0.0,0.0,70.18
BZUSD,2006-08-31,70.25,70.25,70.25,70.25,0,0.0,0.0,70.25
BZUSD,2006-09-01,69.15,69.15,69.15,69.15,0,0.0,0.0,69.15
BZUSD,2006-09-05,68.09,68.09,68.09,68.09,0,0.0,0.0,68.09
BZUSD,2006-09-06,66.93,66.93,66.93,66.93,0,0.0,0.0,66.93
BZUSD,2006-09-07,66.53,66.53,66.53,66.53,0,0.0,0.0,66.53
BZUSD,2006-09-08,66.65,66.65,66.65,66.65,0,0.0,0.0,66.65
BZUSD,2006-09-11,65.87,65.87,65.87,65.87,0,0.0,0.0,65.87
BZUSD,2006-09-12,64.29,64.29,64.29,64.29,0,0.0,0.0,64.29
BZUSD,2006-09-13,64.29,64.29,64.29,64.29,0,0.0,0.0,64.29
BZUSD,2006-09-14,63.54,63.54,63.54,63.54,0,0.0,0.0,63.54
BZUSD,2006-09-15,63.33,63.33,63.33,63.33,0,0.0,0.0,63.33
BZUSD,2006-09-18,64.05,64.05,64.05,64.05,0,0.0,0.0,64.05
BZUSD,2006-09-19,62.17,62.17,62.17,62.17,0,0.0,0.0,62.17
BZUSD,2006-09-20,60.47,60.47,60.47,60.47,0,0.0,0.0,60.47
BZUSD,2006-09-21,61.34,61.34,61.34,61.34,0,0.0,0.0,61.34
BZUSD,2006-09-22,60.41,60.41,60.41,60.41,0,0.0,0.0,60.41
BZUSD,2006-09-25,60.8,60.8,60.8,60.8,0,0.0,0.0,60.8
BZUSD,2006-09-26,60.12,60.12,60.12,60.12,0,0.0,0.0,60.12
BZUSD,2006-09-27,60.7,62.21,59.75,62.21,152,1.51,2.48764,61.2175
BZUSD,2006-09-28,62.33,63.46,62.21,62.54,204,0.21,0.33692,62.635
BZUSD,2006-09-29,61.69,62.48,61.36,62.48,155,0.79,1.2806,62.0025
BZUSD,2006-10-02,61.95,61.98,60.3,60.45,45,-1.5,-2.42131,61.17
BZUSD,2006-10-03,59.63,59.63,58.43,58.43,87,-1.2,-2.01241,59.03
BZUSD,2006-10-04,58.95,59.22,58.02,59.22,65,0.27,0.45802,58.8525
BZUSD,2006-10-05,60.02,60.02,59.61,60.0,509,-0.02,-0.03332223,59.9125
BZUSD,2006-10-06,59.77,60.21,58.94,59.83,251,0.06,0.10038,59.6875
BZUSD,2006-10-09,60.73,61.49,60.54,60.54,3,-0.19,-0.31286,60.825
BZUSD,2006-10-10,59.86,60.18,59.14,59.34,795,-0.52,-0.86869,59.63
BZUSD,2006-10-11,60.02,60.16,59.63,59.63,239,-0.39,-0.64978,59.86
BZUSD,2006-10-12,59.48,60.32,59.41,59.89,235,0.41,0.68931,59.775
BZUSD,2006-10-13,60.83,61.5,60.68,60.68,394,-0.15,-0.24659,60.9225
