symbol,date,open,high,low,close,volume,change,changePercent,vwap
BNBUSD,2017-11-09,2.05314,2.17423,1.89394,1.99077,19192200,-0.06237,-3.04,2.03
BNBUSD,2017-11-10,2.00773,2.06947,1.64478,1.79684,11155000,-0.21089,-10.5,1.88
BNBUSD,2017-11-11,1.78628,1.91775,1.61429,1.67047,8178150,-0.11581,-6.48,1.75
BNBUSD,2017-11-12,1.66889,1.6728,1.46256,1.51969,15298700,-0.1492,-8.94,1.58
BNBUSD,2017-11-13,1.52601,1.73502,1.5176,1.68662,12238800,0.16061,10.52,1.62
BNBUSD,2017-11-14,1.68928,1.73537,1.56827,1.59258,7829600,-0.0967,-5.72,1.65
BNBUSD,2017-11-15,1.58777,1.62498,1.4955,1.53045,7615500,-0.05732,-3.61,1.56
BNBUSD,2017-11-16,1.55619,1.68222,1.53689,1.57792,8928640,0.02173,1.4,1.59
BNBUSD,2017-11-17,1.58005,1.58266,1.4953,1.51036,8508840,-0.06969,-4.41,1.54
BNBUSD,2017-11-18,1.51136,1.67678,1.49823,1.67433,32167300,0.16297,10.78,1.59
BNBUSD,2017-11-19,1.67336,1.70123,1.5678,1.61377,38081700,-0.05959,-3.56,1.64
BNBUSD,2017-11-20,1.62559,1.66065,1.55561,1.62445,12994500,-0.00114,-0.07012838,1.62
BNBUSD,2017-11-21,1.65817,1.65967,1.54984,1.57406,5440790,-0.08411,-5.07,1.61
BNBUSD,2017-11-22,1.59049,1.62137,1.55823,1.61175,7177000,0.02126,1.34,1.6
BNBUSD,2017-11-23,1.6106,1.61668,1.53759,1.5487,8392640,-0.0619,-3.84,1.58
BNBUSD,2017-11-24,1.56953,1.82018,1.55558,1.71771,12155400,0.14818,9.44,1.67
BNBUSD,2017-11-25,1.71697,1.95764,1.69397,1.87387,12839900,0.1569,9.14,1.81
BNBUSD,2017-11-26,1.89474,1.93531,1.82674,1.85313,9056850,-0.04161,-2.2,1.88
BNBUSD,2017-11-27,1.87083,1.94727,1.78963,1.94298,22826600,0.07215,3.86,1.89
BNBUSD,2017-11-28,1.95885,1.95885,1.86804,1.91711,36377700,-0.04174,-2.13,1.93
BNBUSD,2017-11-29,1.92434,2.05159,1.68317,1.75153,43765500,-0.17281,-8.98,1.85
BNBUSD,2017-11-30,1.76144,2.05291,1.76144,1.99697,31559500,0.23553,13.37,1.89
BNBUSD,2017-12-01,1.99695,2.13701,1.92297,2.07023,28867200,0.07328,3.67,2.03
BNBUSD,2017-12-02,2.07706,2.11566,1.99689,2.08416,24332700,0.0071,0.34183,2.07
BNBUSD,2017-12-03,2.08541,2.38115,2.05419,2.22725,35163500,0.14184,6.8,2.19
BNBUSD,2017-12-04,2.25809,2.57703,2.25809,2.49168,41226200,0.23359,10.34,2.4
BNBUSD,2017-12-05,2.50181,2.73179,2.50181,2.5953,49190000,0.09349,3.74,2.58
BNBUSD,2017-12-06,2.58043,2.77881,2.34588,2.58769,41731500,0.00726,0.28135,2.57
BNBUSD,2017-12-07,2.5494,2.91443,2.48943,2.77995,28297900,0.23055,9.04,2.68
