symbol,date,open,high,low,close,volume,change,changePercent,vwap
ETHUSD,2015-08-07,3.0,3.00001,3.0,3.0,369,0.0,0.0,3.0
ETHUSD,2015-08-08,3.0,3.0,0.15,1.19999,2330,-1.80001,-60.0,0.5992
ETHUSD,2015-08-11,0.79969,1.15,0.65038,0.99,9142,0.19031,23.8,0.7772
ETHUSD,2015-08-12,1.0,1.288,0.905,1.288,2236,0.288,28.8,1.09
ETHUSD,2015-08-13,1.2628,1.8848,1.2628,1.8848,5306,0.622,49.26,1.54
ETHUSD,2015-08-14,1.88345,2.1,1.79489,1.79489,10365,-0.08856,-4.7,1.91
ETHUSD,2015-08-15,1.7,1.79,1.5,1.79,15532,0.09,5.29,1.7
ETHUSD,2015-08-16,1.65,1.65,0.5,1.5893,15682,-0.0607,-3.68,1.13
ETHUSD,2015-08-17,1.50539,1.58,1.25,1.29638,5116,-0.20901,-13.88,1.39
ETHUSD,2015-08-18,1.15,1.36163,0.98998,1.10001,4565,-0.04999,-4.35,1.14
ETHUSD,2015-08-19,1.10001,1.24,1.10001,1.24,2744,0.13999,12.73,1.23
ETHUSD,2015-08-20,1.3,1.5218,1.3,1.5218,1388,0.2218,17.06,1.36
ETHUSD,2015-08-21,1.45061,1.53,1.43588,1.43588,8624,-0.01473,-1.02,1.46
ETHUSD,2015-08-22,1.41,1.41,1.4,1.4,321,-0.01,-0.70922,1.4
ETHUSD,2015-08-23,1.35,1.35002,1.31,1.35,348,0.0,0.0,1.35
ETHUSD,2015-08-24,1.33,1.34,1.23804,1.23804,6152,-0.09196,-6.91,1.26
ETHUSD,2015-08-25,1.22031,1.277,1.22031,1.27119,1158,0.05088,4.17,1.27
ETHUSD,2015-08-26,1.11099,1.2,1.08253,1.18,2314,0.06901,6.21,1.15
ETHUSD,2015-08-27,1.18818,1.18818,1.13646,1.13646,261,-0.05172,-4.35,1.17
ETHUSD,2015-08-28,1.21733,1.3,1.15219,1.295,26892,0.07767,6.38,1.3
ETHUSD,2015-08-29,1.16415,1.1795,1.153,1.1795,388,0.01535,1.32,1.16
ETHUSD,2015-08-30,1.21,1.35,1.17189,1.32,8907,0.11,9.09,1.3
ETHUSD,2015-08-31,1.22,1.32,0.90001,1.30651,3852,0.08651,7.09,1.21
ETHUSD,2015-09-01,1.31241,1.38,1.31241,1.36,1253,0.04759,3.63,1.37
ETHUSD,2015-09-02,1.36,1.37199,1.14032,1.32795,483,-0.03205,-2.36,1.33
ETHUSD,2015-09-03,1.3,1.3,1.23357,1.23357,3206,-0.06643,-5.11,1.3
ETHUSD,2015-09-05,1.29705,1.37,1.29705,1.37,10735,0.07295,5.62,1.32
ETHUSD,2015-09-06,1.385,1.385,1.3351,1.34,95,-0.045,-3.25,1.36
ETHUSD,2015-09-07,1.27561,1.27561,1.27561,1.27561,93,0.0,0.0,1.28
ETHUSD,2015-09-08,1.26397,1.26397,1.26349,1.26349,104,-0.00048,-0.03797558,1.26
ETHUSD,2015-09-09,1.21,1.21,1.21,1.21,4,0.0,0.0,1.21
ETHUSD,2015-09-10,1.19,1.21279,1.12001,1.1857,614,-0.0043,-0.36134,1.15
ETHUSD,2015-09-11,1.15,1.16397,0.92422,0.92422,1832,-0.22578,-19.63,1.05
ETHUSD,2015-09-12,0.99999,1.14639,0.98,1.14639,303,0.1464,14.64,0.9858
ETHUSD,2015-09-13,1.013,1.013,0.88367,0.88557,3384,-0.12743,-12.58,0.9738
ETHUSD,2015-09-14,0.96222,0.96223,0.88495,0.955,830,-0.00722,-0.75035,0.9257
ETHUSD,2015-09-15,0.80405,1.0,0.80404,0.95,2429,0.14595,18.15,0.8885
ETHUSD,2015-09-16,0.95625,0.95625,0.93634,0.93634,37,-0.01991,-2.08,0.9561
ETHUSD,2015-09-17,0.82383,0.875,0.82383,0.875,45,0.05117,6.21,0.8269
ETHUSD,2015-09-18,0.8751,0.87999,0.85226,0.85226,545,-0.02284,-2.61,0.8671
ETHUSD,2015-09-19,0.87,0.89,0.80129,0.89,3,0.02,2.3,0.8123
ETHUSD,2015-09-20,0.88,0.95,0.88,0.94116,36,0.06116,6.95,0.9212
ETHUSD,2015-09-22,0.8611,0.8611,0.80588,0.80588,3,-0.05522,-6.41,0.8197
ETHUSD,2015-09-23,0.91,0.91,0.91,0.91,0,0.0,0.0,0.91
ETHUSD,2015-09-24,0.80045,0.80045,0.8,0.8,243,-0.00045,-0.05621838,0.8
ETHUSD,2015-09-25,0.75286,0.76,0.68233,0.68233,1869,-0.07053,-9.37,0.7408
ETHUSD,2015-09-26,0.68049,0.77032,0.68049,0.77032,3,0.08983,13.2,0.6839
ETHUSD,2015-09-27,0.70071,0.70077,0.70071,0.70077,3,6e-05,0.00856274,0.7008
ETHUSD,2015-09-28,0.70075,0.7047,0.6,0.6,2819,-0.10075,-14.38,0.6265
ETHUSD,2015-09-29,0.6,0.68163,0.5,0.68163,2866,0.08163,13.6,0.593
ETHUSD,2015-09-30,0.50457,0.74001,0.50457,0.71365,249,0.20908,41.44,0.7227
ETHUSD,2015-10-01,0.71364,0.71364,0.65454,0.65479,359,-0.05885,-8.25,0.6921
ETHUSD,2015-10-02,0.66601,0.66601,0.66467,0.66467,266,-0.00134,-0.2012,0.6649
ETHUSD,2015-10-03,0.67467,0.6796,0.67467,0.6796,30,0.00493,0.73073,0.6754
ETHUSD,2015-10-04,0.67467,0.67467,0.60954,0.60954,253,-0.06513,-9.65,0.674
ETHUSD,2015-10-05,0.60777,0.60777,0.60777,0.60777,7,0.0,0.0,0.6078
ETHUSD,2015-10-06,0.60914,0.65114,0.60914,0.65114,16,0.042,6.89,0.6421
ETHUSD,2015-10-07,0.61,0.61101,0.6,0.6,1213,-0.01,-1.64,0.6105
ETHUSD,2015-10-08,0.6,0.64,0.6,0.62,3497,0.02,3.33,0.639
ETHUSD,2015-10-09,0.6303,0.6352,0.5701,0.6352,1276,0.0049,0.77741,0.583
ETHUSD,2015-10-11,0.59931,0.59934,0.59931,0.59934,8,3e-05,0.00500576,0.5993
ETHUSD,2015-10-12,0.63899,0.63899,0.63,0.63,12,-0.00899,-1.41,0.631
ETHUSD,2015-10-13,0.63463,0.65,0.60163,0.60166,416,-0.03297,-5.2,0.6155
ETHUSD,2015-10-14,0.599,0.599,0.48323,0.48324,889,-0.11576,-19.33,0.5646
ETHUSD,2015-10-15,0.55,0.56,0.51627,0.56,6,0.01,1.82,0.5282
ETHUSD,2015-10-16,0.56224,0.56224,0.525,0.525,135,-0.03724,-6.62,0.5252
ETHUSD,2015-10-17,0.525,0.54,0.52001,0.52299,455,-0.00201,-0.38286,0.5303
