symbol,date,open,high,low,close,volume,change,changePercent,vwap
SOLUSD,2020-04-10,0.83201,1.31349,0.69419,0.95105,87364276,0.11905,14.30869,0.94768
SOLUSD,2020-04-11,0.95105,1.04907,0.76502,0.77682,43862444,-0.17423,-18.3202,0.88549
SOLUSD,2020-04-12,0.78545,0.95667,0.76243,0.88251,38736897,0.097059,12.35715,0.84676
SOLUSD,2020-04-13,0.89076,0.8916,0.77398,0.77783,18211285,-0.11293,-12.67771,0.83354
SOLUSD,2020-04-14,0.77783,0.79647,0.62817,0.66193,16747614,-0.11591,-14.90129,0.7161
SOLUSD,2020-04-15,0.66929,0.70496,0.62153,0.64665,13075275,-0.022638,-3.3824,0.66061
SOLUSD,2020-04-16,0.63088,0.77419,0.62511,0.69082,21346031,0.059937,9.50055,0.68025
SOLUSD,2020-04-17,0.68931,0.71961,0.66073,0.66073,9870810,-0.028584,-4.14674,0.6826
SOLUSD,2020-04-18,0.66073,0.71762,0.65943,0.6811,9782112,0.020368,3.08266,0.67972
SOLUSD,2020-04-19,0.68152,0.68464,0.59849,0.60697,9289670,-0.074547,-10.93841,0.6429
SOLUSD,2020-04-20,0.61295,0.63925,0.52058,0.53881,8342616,-0.074136,-12.09499,0.5779
SOLUSD,2020-04-21,0.54139,0.60459,0.50855,0.58766,9711507,0.046272,8.54694,0.56055
SOLUSD,2020-04-22,0.58117,0.70696,0.56962,0.6916,18828400,0.11044,19.00232,0.63734
SOLUSD,2020-04-23,0.68535,0.69808,0.60032,0.62746,13485271,-0.05789,-8.44682,0.6528
SOLUSD,2020-04-24,0.62402,0.67102,0.61394,0.63424,9064190,0.010221,1.63793,0.63581
SOLUSD,2020-04-25,0.63053,0.67095,0.62155,0.64333,7311905,0.012801,2.0302,0.64159
SOLUSD,2020-04-26,0.65322,0.6915,0.63117,0.63551,8320760,-0.017709,-2.71105,0.65285
SOLUSD,2020-04-27,0.63571,0.66028,0.56103,0.57237,7406934,-0.063342,-9.96391,0.60735
SOLUSD,2020-04-28,0.57825,0.69215,0.56848,0.66129,7470201,0.08304,14.3605,0.62504
SOLUSD,2020-04-29,0.66229,0.77777,0.65527,0.74584,8801144,0.083554,12.616,0.71029
SOLUSD,2020-04-30,0.7472,0.80082,0.68788,0.69105,5016892,-0.05615,-7.51477,0.73173
SOLUSD,2020-05-01,0.69105,0.73707,0.6859,0.72879,4164272,0.037749,5.4626,0.7107
SOLUSD,2020-05-02,0.72727,0.74898,0.7079,0.71588,3441356,-0.011392,-1.56641,0.72501
SOLUSD,2020-05-03,0.7148,0.7298,0.65662,0.67954,3328344,-0.035261,-4.93302,0.69519
SOLUSD,2020-05-04,0.67963,0.70581,0.61843,0.66749,3443698,-0.012134,-1.7854,0.66784
SOLUSD,2020-05-05,0.67344,0.68621,0.6265,0.64184,2847469,-0.031603,-4.69277,0.657
SOLUSD,2020-05-06,0.64245,0.67389,0.62258,0.62258,2677563,-0.01987,-3.09283,0.64038
SOLUSD,2020-05-07,0.62258,0.63227,0.57338,0.61298,3355830,-0.009606,-1.54292,0.6103
SOLUSD,2020-05-08,0.61298,0.63662,0.58985,0.60492,2488195,-0.008056,-1.31424,0.61109
SOLUSD,2020-05-09,0.60404,0.62543,0.58845,0.60453,2128503,0.000485,0.08029243,0.60561
SOLUSD,2020-05-10,0.60446,0.6123,0.51308,0.53703,2327581,-0.067427,-11.1549,0.56672
SOLUSD,2020-05-11,0.53626,0.57186,0.50519,0.51527,2098481,-0.020982,-3.91269,0.53215
SOLUSD,2020-05-12,0.51339,0.55976,0.50525,0.53858,2198625,0.025185,4.90562,0.52924
SOLUSD,2020-05-13,0.53837,0.56487,0.51804,0.55053,2326446,0.01216,2.25866,0.54295
SOLUSD,2020-05-14,0.55053,0.58095,0.55011,0.56912,2047897,0.018586,3.37601,0.56268
SOLUSD,2020-05-15,0.56919,0.57462,0.54709,0.55975,1850070,-0.009441,-1.65866,0.56266
SOLUSD,2020-05-16,0.55898,0.60653,0.55436,0.59912,2300409,0.040139,7.18074,0.57975
SOLUSD,2020-05-17,0.59523,0.6402,0.58918,0.61299,2936428,0.017761,2.9839,0.6094
SOLUSD,2020-05-18,0.61268,0.67439,0.60965,0.65267,3314359,0.039988,6.52671,0.63735
SOLUSD,2020-05-19,0.65097,0.65448,0.61125,0.62445,2380263,-0.02652,-4.0739,0.63529
SOLUSD,2020-05-20,0.62248,0.62666,0.57528,0.57916,2302926,-0.043319,-6.95915,0.60089
SOLUSD,2020-05-21,0.57969,0.61379,0.54335,0.60892,2863017,0.029223,5.04113,0.58644
SOLUSD,2020-05-22,0.60524,0.67643,0.58283,0.63888,3411419,0.033636,5.55747,0.62584
SOLUSD,2020-05-23,0.63741,0.63885,0.58825,0.61303,2638524,-0.024384,-3.82545,0.61939
SOLUSD,2020-05-24,0.61329,0.61329,0.54843,0.54905,2786816,-0.064236,-10.47402,0.58102
SOLUSD,2020-05-25,0.54857,0.65014,0.53806,0.60086,4509580,0.052287,9.53151,0.58441
SOLUSD,2020-05-26,0.5991,0.61235,0.56646,0.57331,2689697,-0.025797,-4.30593,0.58781
SOLUSD,2020-05-27,0.57331,0.61109,0.57144,0.59099,2536916,0.017678,3.08351,0.58671
SOLUSD,2020-05-28,0.59088,0.5924,0.56695,0.57516,2662788,-0.015729,-2.66194,0.58135
SOLUSD,2020-05-29,0.5747,0.5934,0.56686,0.57942,2066857,0.004716,0.8206,0.57859
SOLUSD,2020-05-30,0.58135,0.60249,0.56705,0.58793,2449095,0.006578,1.13149,0.58471
SOLUSD,2020-05-31,0.5879,0.594,0.56925,0.57002,1892967,-0.017881,-3.04149,0.58029
SOLUSD,2020-06-01,0.57347,0.58784,0.56735,0.5775,2159877,0.004023,0.70152,0.57654
SOLUSD,2020-06-02,0.57714,0.58973,0.55229,0.56467,1295757,-0.012473,-2.16117,0.57096
SOLUSD,2020-06-03,0.56467,0.59103,0.56446,0.58662,877446,0.021952,3.88759,0.57669
SOLUSD,2020-06-04,0.58687,0.59164,0.56452,0.5873,901641,0.000432,0.07361123,0.58258
SOLUSD,2020-06-05,0.5873,0.69828,0.57793,0.66116,4322092,0.073856,12.57554,0.63116
SOLUSD,2020-06-06,0.66107,0.66162,0.61178,0.62244,1604055,-0.038628,-5.84325,0.63923
SOLUSD,2020-06-07,0.62244,0.62444,0.5934,0.61658,716785,-0.005865,-0.94225,0.61422
SOLUSD,2020-06-08,0.61508,0.679,0.61331,0.66831,1440234,0.053235,8.655,0.64393
SOLUSD,2020-06-09,0.66778,0.66809,0.62724,0.658,988327,-0.009782,-1.46484,0.65528
SOLUSD,2020-06-10,0.65804,0.67004,0.6334,0.64487,1096203,-0.013171,-2.00156,0.65159
SOLUSD,2020-06-11,0.64489,0.65054,0.57008,0.57374,1122221,-0.071146,-11.0323,0.60981
