symbol,date,open,high,low,close,volume,change,changePercent,vwap
USDTUSD,2017-03-28,1.0,1.2,0.999,0.9991,70238,-0.0009,-0.09,0.9991
USDTUSD,2017-03-29,1.0,1.2,0.999,0.9991,70238,-0.0009,-0.09,0.9991
USDTUSD,2017-03-30,1.0,1.00099999,0.999,0.999,211071,-0.001,-0.1,0.9998
USDTUSD,2017-03-31,1.0004,1.00489999,0.998,1.00089999,713497,0.00049999,0.04997901,0.9996
USDTUSD,2017-04-01,1.00089999,1.00099999,0.9901,0.9983,633324,-0.00259999,-0.25977,0.9994
USDTUSD,2017-04-02,0.9983,1.00099999,0.9946,1.00079999,881936,0.00249999,0.25042,0.9995
USDTUSD,2017-04-03,0.9906,1.0,0.9906,0.9991,216580,0.0085,0.85807,0.9992
USDTUSD,2017-04-04,1.0,1.00099999,0.999,1.0,321826,0.0,0.0,1.0
USDTUSD,2017-04-05,1.00079999,1.0014,0.9995,1.0014,302040,0.00060001,0.05995304,1.0
USDTUSD,2017-04-06,1.0001,1.002,0.9996,0.9996,531076,-0.0005,-0.049995,1.0
USDTUSD,2017-04-07,0.9996,1.0,0.9991,0.9991,331336,-0.0005,-0.05002001,0.9995
USDTUSD,2017-04-08,0.9999,1.0,0.9902,0.999,506322,-0.0009,-0.090009,0.999
USDTUSD,2017-04-09,0.9987,0.9989,0.9902,0.998,52695,-0.0007,-0.07009112,0.9981
USDTUSD,2017-04-10,0.9931,0.9977,0.99,0.9958,79434,0.0027,0.27188,0.9913
USDTUSD,2017-04-11,0.9967,0.9983,0.9942,0.9974,176584,0.0007,0.07023176,0.9979
USDTUSD,2017-04-12,0.9973,0.9973,0.9871,0.9932,232511,-0.0041,-0.41111,0.9934
USDTUSD,2017-04-13,0.9934,0.9954,0.9902,0.9939,204034,0.0005,0.05033219,0.9946
USDTUSD,2017-04-14,0.9934,0.996,0.9689,0.9899,70927,-0.0035,-0.35233,0.9941
USDTUSD,2017-04-15,0.9689,0.9899,0.9676,0.9896,14766,0.0207,2.14,0.9789
USDTUSD,2017-04-16,0.9896,0.9896,0.9515,0.9515,11809,-0.0381,-3.85,0.9658
USDTUSD,2017-04-17,0.9697,0.9698,0.9211,0.9392,36394,-0.0305,-3.15,0.9506
USDTUSD,2017-04-18,0.94,0.9628,0.9207,0.945,37094,0.005,0.53191,0.9404
USDTUSD,2017-04-19,0.945,0.9549,0.9372,0.946,27309,0.001,0.10582,0.9447
USDTUSD,2017-04-20,0.95,0.9549,0.92,0.949,72394,-0.001,-0.10526,0.9424
USDTUSD,2017-04-21,0.949,0.95,0.9,0.9363,57223,-0.0127,-1.34,0.9302
USDTUSD,2017-04-22,0.9363,0.95,0.915,0.915,108000,-0.0213,-2.27,0.9309
USDTUSD,2017-04-23,0.911,0.94,0.901,0.915,69912,0.004,0.43908,0.9158
USDTUSD,2017-04-24,0.912,0.9286,0.901,0.915,72365,0.003,0.32895,0.9142
USDTUSD,2017-04-25,0.9149,0.925,0.89,0.904,91273,-0.0109,-1.19,0.9095
USDTUSD,2017-04-26,0.9195,0.9367,0.903,0.9201,48674,0.0006,0.06525285,0.9209
USDTUSD,2017-04-27,0.9286,0.937,0.9199,0.92,43768,-0.0086,-0.92613,0.93
USDTUSD,2017-04-28,0.92,0.9649,0.9199,0.94,71235,0.02,2.17,0.9442
USDTUSD,2017-04-29,0.94,0.9524,0.931,0.931,23811,-0.009,-0.95745,0.9395
USDTUSD,2017-04-30,0.9395,0.9529,0.912,0.935,69446,-0.0045,-0.47898,0.9301
USDTUSD,2017-05-01,0.9351,0.94,0.9151,0.9156,31308,-0.0195,-2.09,0.9272
USDTUSD,2017-05-02,0.9158,0.94,0.9121,0.9283,53235,0.0125,1.36,0.926
USDTUSD,2017-05-03,0.9345,0.948,0.9212,0.9347,71296,0.0002,0.02140182,0.9366
USDTUSD,2017-05-04,0.9357,0.9639,0.9155,0.959,190736,0.0233,2.49,0.9518
USDTUSD,2017-05-05,0.9567,0.98,0.9306,0.979,192577,0.0223,2.33,0.9681
USDTUSD,2017-05-06,0.979,0.9929,0.955,0.983,55454,0.004,0.40858,0.9786
USDTUSD,2017-05-07,0.9721,0.981,0.928,0.9281,55590,-0.044,-4.53,0.9571
USDTUSD,2017-05-08,0.966,0.972,0.946,0.9711,67653,0.0051,0.52795,0.9562
USDTUSD,2017-05-09,0.9527,0.978,0.9527,0.97,448640,0.0173,1.82,0.97
USDTUSD,2017-05-10,0.9774,0.9946,0.965,0.994,252293,0.0166,1.7,0.9852
USDTUSD,2017-05-11,0.994,0.9986,0.9475,0.9725,300707,-0.0215,-2.16,0.9896
USDTUSD,2017-05-12,0.9725,0.9928,0.9601,0.9811,33784,0.0086,0.88432,0.9735
USDTUSD,2017-05-13,0.9811,0.9857,0.956,0.9778,28709,-0.0033,-0.33636,0.9676
USDTUSD,2017-05-14,0.9797,0.9886,0.9615,0.98,80855,0.0003,0.03062162,0.9803
USDTUSD,2017-05-15,0.982,0.992,0.9722,0.9773,86537,-0.0047,-0.47862,0.9867
USDTUSD,2017-05-16,0.9758,0.9898,0.97,0.9897,53010,0.0139,1.42,0.9804
USDTUSD,2017-05-17,0.9897,0.9897,0.9702,0.9766,23274,-0.0131,-1.32,0.9789
USDTUSD,2017-05-18,0.9815,0.9868,0.9703,0.9799,26234,-0.0016,-0.16302,0.9763
USDTUSD,2017-05-19,0.9732,0.9983,0.9706,0.9983,233701,0.0251,2.58,0.9875
USDTUSD,2017-05-20,0.9979,0.999,0.9801,0.99,198793,-0.0079,-0.79166,0.996
USDTUSD,2017-05-21,0.9823,1.0,0.977,0.9956,129738,0.0133,1.35,0.9946
USDTUSD,2017-05-22,0.9959,1.0,0.9768,1.0,309599,0.0041,0.41169,0.9942
