symbol,date,open,high,low,close,volume,change,changePercent,vwap
XRPUSD,2017-01-02,0.006,0.00678,0.006,0.00678,7,0.00078,13.0,0.0066
XRPUSD,2017-01-03,0.006,0.00678,0.006,0.00678,7,0.00078,13.0,0.0066
XRPUSD,2017-01-08,0.0072,0.0072,0.0072,0.0072,5,0.0,0.0,0.0072
XRPUSD,2017-01-09,0.0072,0.0072,0.0072,0.0072,5,0.0,0.0,0.0072
XRPUSD,2017-01-16,0.00719,0.00739,0.00668,0.00687,32833,-0.00032,-4.45,0.0068
XRPUSD,2017-01-17,0.00719,0.00739,0.00668,0.00687,32833,-0.00032,-4.45,0.0068
XRPUSD,2017-01-18,0.00687,0.00719,0.00664,0.00674,38133,-0.00013,-1.89,0.0069
XRPUSD,2017-01-19,0.00676,0.00688,0.0065,0.00681,20469,5e-05,0.73964,0.0067
XRPUSD,2017-01-20,0.0067,0.00685,0.0064,0.0066,11565,-0.0001,-1.49,0.0066
XRPUSD,2017-01-21,0.0066,0.00684,0.00652,0.00674,14813,0.00014,2.12,0.0067
XRPUSD,2017-01-22,0.00683,0.00684,0.00669,0.00672,5802,-0.00011,-1.61,0.0068
XRPUSD,2017-01-23,0.00674,0.00682,0.00659,0.00666,12369,-8e-05,-1.19,0.0067
XRPUSD,2017-01-24,0.00664,0.00674,0.00647,0.00647,9024,-0.00017,-2.56,0.0066
XRPUSD,2017-01-25,0.0065,0.0065,0.00643,0.00649,8962,-1e-05,-0.15385,0.0065
XRPUSD,2017-01-26,0.0065,0.00676,0.00616,0.0063,29516,-0.0002,-3.08,0.0064
XRPUSD,2017-01-27,0.0063,0.0065,0.003,0.00636,10775,6e-05,0.95238,0.006
XRPUSD,2017-01-28,0.00636,0.0064,0.0063,0.00639,3778,3e-05,0.4717,0.0064
XRPUSD,2017-01-29,0.00637,0.0064,0.00629,0.00639,6035,2e-05,0.31397,0.0064
XRPUSD,2017-01-30,0.0064,0.0065,0.00632,0.00634,6793,-6e-05,-0.9375,0.0064
