symbol,date,open,high,low,close,volume,change,changePercent,vwap
USDCAD,1995-01-02,1.4015,1.4019,1.4006,1.4011,0,-0.0004,-0.02854085,1.40128
USDCAD,1995-01-03,1.4011,1.4081,1.3951,1.4051,0,0.004,0.28549,1.40235
USDCAD,1995-01-04,1.4051,1.4074,1.4007,1.4007,0,-0.0044,-0.31314,1.40348
USDCAD,1995-01-05,1.4007,1.4061,1.3956,1.3996,0,-0.0011,-0.07853216,1.4005
USDCAD,1995-01-06,1.3996,1.4028,1.3976,1.4001,0,0.0005,0.03572449,1.40002
USDCAD,1995-01-09,1.4001,1.4086,1.3984,1.4086,0,0.0085,0.6071,1.40393
USDCAD,1995-01-10,1.4086,1.4146,1.4069,1.4101,0,0.0015,0.10649,1.41005
USDCAD,1995-01-11,1.4101,1.4144,1.4091,1.4114,0,0.0013,0.09219204,1.41125
USDCAD,1995-01-12,1.4114,1.4206,1.4111,1.4184,0,0.007,0.49596,1.41538
USDCAD,1995-01-13,1.4184,1.4192,1.4071,1.4104,0,-0.008,-0.56402,1.41378
USDCAD,1995-01-16,1.4104,1.4135,1.4077,1.4093,0,-0.0011,-0.07799206,1.41023
USDCAD,1995-01-17,1.4093,1.4235,1.4088,1.4186,0,0.0093,0.6599,1.41505
USDCAD,1995-01-18,1.4186,1.4253,1.4181,1.4202,0,0.0016,0.11279,1.42055
USDCAD,1995-01-19,1.4202,1.4258,1.4171,1.424,0,0.0038,0.26757,1.42177
USDCAD,1995-01-20,1.424,1.4268,1.4201,1.4231,0,-0.0009,-0.06320225,1.4235
USDCAD,1995-01-23,1.4231,1.4231,1.4176,1.4181,0,-0.005,-0.35135,1.42048
USDCAD,1995-01-24,1.4181,1.4191,1.413,1.4151,0,-0.003,-0.21155,1.41632
USDCAD,1995-01-25,1.4151,1.4194,1.4101,1.4101,0,-0.005,-0.35333,1.41368
USDCAD,1995-01-26,1.4101,1.4163,1.4096,1.4156,0,0.0055,0.39004,1.4129
USDCAD,1995-01-27,1.4156,1.4176,1.4121,1.4139,0,-0.0017,-0.12009,1.4148
