symbol,date,open,high,low,close,volume,change,changePercent,vwap
USDCNH,1995-01-03,8.4647,8.4647,8.4647,8.4647,0,0.0,0.0,8.4647
USDCNH,1995-01-04,8.4647,8.4647,8.4647,8.4647,0,0.0,0.0,8.4647
USDCNH,1995-01-05,8.463,8.463,8.463,8.463,0,0.0,0.0,8.463
USDCNH,1995-01-06,8.4626,8.4626,8.4626,8.4626,0,0.0,0.0,8.4626
USDCNH,1995-01-09,8.4622,8.4622,8.4622,8.4622,0,0.0,0.0,8.4622
USDCNH,1995-01-10,8.4617,8.4617,8.4617,8.4617,0,0.0,0.0,8.4617
USDCNH,1995-01-11,8.4615,8.4615,8.4615,8.4615,0,0.0,0.0,8.4615
USDCNH,1995-01-12,8.4612,8.4612,8.4612,8.4612,0,0.0,0.0,8.4612
USDCNH,1995-01-13,8.4611,8.4611,8.4611,8.4611,0,0.0,0.0,8.4611
USDCNH,1995-01-17,8.4607,8.4607,8.4607,8.4607,0,0.0,0.0,8.4607
USDCNH,1995-01-18,8.4605,8.4605,8.4605,8.4605,0,0.0,0.0,8.4605
USDCNH,1995-01-19,8.4602,8.4602,8.4602,8.4602,0,0.0,0.0,8.4602
USDCNH,1995-01-20,8.46,8.46,8.46,8.46,0,0.0,0.0,8.46
USDCNH,1995-01-23,8.4597,8.4597,8.4597,8.4597,0,0.0,0.0,8.4597
USDCNH,1995-01-24,8.4594,8.4594,8.4594,8.4594,0,0.0,0.0,8.4594
USDCNH,1995-01-25,8.459,8.459,8.459,8.459,0,0.0,0.0,8.459
USDCNH,1995-01-26,8.4587,8.4587,8.4587,8.4587,0,0.0,0.0,8.4587
USDCNH,1995-01-27,8.4584,8.4584,8.4584,8.4584,0,0.0,0.0,8.4584
USDCNH,1995-01-30,8.4584,8.4584,8.4584,8.4584,0,0.0,0.0,8.4584
USDCNH,1995-01-31,8.4584,8.4584,8.4584,8.4584,0,0.0,0.0,8.4584
USDCNH,1995-02-01,8.4585,8.4585,8.4585,8.4585,0,0.0,0.0,8.4585
USDCNH,1995-02-02,8.4584,8.4584,8.4584,8.4584,0,0.0,0.0,8.4584
USDCNH,1995-02-03,8.4584,8.4584,8.4584,8.4584,0,0.0,0.0,8.4584
USDCNH,1995-02-06,8.458,8.458,8.458,8.458,0,0.0,0.0,8.458
USDCNH,1995-02-07,8.4575,8.4575,8.4575,8.4575,0,0.0,0.0,8.4575
USDCNH,1995-02-08,8.457,8.457,8.457,8.457,0,0.0,0.0,8.457
USDCNH,1995-02-09,8.4564,8.4564,8.4564,8.4564,0,0.0,0.0,8.4564
USDCNH,1995-02-10,8.456,8.456,8.456,8.456,0,0.0,0.0,8.456
USDCNH,1995-02-13,8.4555,8.4555,8.4555,8.4555,0,0.0,0.0,8.4555
USDCNH,1995-02-14,8.4552,8.4552,8.4552,8.4552,0,0.0,0.0,8.4552
USDCNH,1995-02-15,8.4551,8.4551,8.4551,8.4551,0,0.0,0.0,8.4551
USDCNH,1995-02-16,8.4552,8.4552,8.4552,8.4552,0,0.0,0.0,8.4552
USDCNH,1995-02-17,8.4552,8.4552,8.4552,8.4552,0,0.0,0.0,8.4552
USDCNH,1995-02-21,8.4537,8.4537,8.4537,8.4537,0,0.0,0.0,8.4537
USDCNH,1995-02-22,8.4529,8.4529,8.4529,8.4529,0,0.0,0.0,8.4529
USDCNH,1995-02-23,8.4524,8.4524,8.4524,8.4524,0,0.0,0.0,8.4524
USDCNH,1995-02-24,8.452,8.452,8.452,8.452,0,0.0,0.0,8.452
USDCNH,1995-02-27,8.4516,8.4516,8.4516,8.4516,0,0.0,0.0,8.4516
USDCNH,1995-02-28,8.4511,8.4511,8.4511,8.4511,0,0.0,0.0,8.4511
USDCNH,1995-03-01,8.4508,8.4508,8.4508,8.4508,0,0.0,0.0,8.4508
USDCNH,1995-03-02,8.4599,8.4599,8.4599,8.4599,0,0.0,0.0,8.4599
USDCNH,1995-03-03,8.4594,8.4594,8.4594,8.4594,0,0.0,0.0,8.4594
USDCNH,1995-03-06,8.4482,8.4482,8.4482,8.4482,0,0.0,0.0,8.4482
USDCNH,1995-03-07,8.4473,8.4473,8.4473,8.4473,0,0.0,0.0,8.4473
USDCNH,1995-03-08,8.4465,8.4465,8.4465,8.4465,0,0.0,0.0,8.4465
USDCNH,1995-03-09,8.4459,8.4459,8.4459,8.4459,0,0.0,0.0,8.4459
USDCNH,1995-03-10,8.4461,8.4461,8.4461,8.4461,0,0.0,0.0,8.4461
USDCNH,1995-03-13,8.4464,8.4464,8.4464,8.4464,0,0.0,0.0,8.4464
USDCNH,1995-03-14,8.4465,8.4465,8.4465,8.4465,0,0.0,0.0,8.4465
