symbol,date,open,high,low,close,volume,change,changePercent,vwap
USDPLN,2003-12-01,3.8907,3.9093,3.8513,3.898,0,0.0073,0.18763,3.8862
USDPLN,2003-12-02,3.8983,3.9115,3.8545,3.8663,0,-0.032,-0.82087,3.87743
USDPLN,2003-12-03,3.867,3.8747,3.819,3.8283,0,-0.0387,-1.00078,3.84067
USDPLN,2003-12-04,3.8277,3.852,3.8152,3.8312,0,0.0035,0.09143872,3.8328
USDPLN,2003-12-05,3.8269,3.845,3.813,3.8165,0,-0.0104,-0.27176,3.82483
USDPLN,2003-12-08,3.8238,3.8367,3.7921,3.8065,0,-0.0173,-0.45243,3.81177
USDPLN,2003-12-09,3.8065,3.8358,3.7972,3.8242,0,0.0177,0.46499,3.81907
USDPLN,2003-12-10,3.824,3.8273,3.787,3.8057,0,-0.0183,-0.47856,3.80667
USDPLN,2003-12-11,3.8054,3.8291,3.7957,3.8238,0,0.0184,0.48352,3.8162
USDPLN,2003-12-12,3.8245,3.8255,3.7847,3.8017,0,-0.0228,-0.59616,3.80397
USDPLN,2003-12-15,3.7948,3.8278,3.7682,3.7709,0,-0.0239,-0.62981,3.78897
USDPLN,2003-12-16,3.7702,3.7783,3.7455,3.7778,0,0.0076,0.20158,3.7672
USDPLN,2003-12-17,3.7763,3.787,3.7394,3.744,0,-0.0323,-0.85533,3.7568
USDPLN,2003-12-18,3.7441,3.7628,3.7312,3.7433,0,-0.0008,-0.02136695,3.74577
USDPLN,2003-12-19,3.7434,3.7638,3.7223,3.7546,0,0.0112,0.29919,3.7469
USDPLN,2003-12-22,3.7633,3.7686,3.7281,3.742,0,-0.0213,-0.56599,3.74623
USDPLN,2003-12-23,3.742,3.7543,3.7305,3.7374,0,-0.0046,-0.12293,3.74073
USDPLN,2003-12-24,3.7377,3.767,3.7324,3.744,0,0.0063,0.16855,3.7478
USDPLN,2003-12-25,3.7429,3.7447,3.7327,3.7431,0,0.0002,0.00534345,3.74017
USDPLN,2003-12-26,3.7432,3.7555,3.7333,3.7372,0,-0.006,-0.16029,3.742
